Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-1,F=0-1",108.0571294,-6.06117,5.21338,-5.4827
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-1,F=1-1",108.0629185,-6.94757,5.21365,-5.892
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-1,F=1-2",108.0769565,-6.30021,5.21375,-5.2447
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-1,F=2-2",108.0913095,-6.3117,5.21444,-5.0344
13CN,Cyanide Radical,"N=1-0,J=1/2-1/2,F1=0-1,F=1-0",108.4060979,-6.02598,5.23055,-4.9718
13CN,Cyanide Radical,"N=1-0,J=1/2-1/2,F1=0-1,F=1-1",108.412862,-5.50325,5.23045,-4.4491
13CN,Cyanide Radical,"N=1-0,J=1/2-1/2,F1=0-1,F=1-2",108.426889,-5.2031,5.23055,-4.149
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-0,F=0-1",108.631121,-5.01889,5.21344,-4.4427
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-0,F=1-1",108.636923,-5.01729,5.21372,-3.964
13CN,Cyanide Radical,"N=1-0,J=1/2-1/2,F1=1-1,F=2-1",108.64359,-5.59257,5.24152,-4.3175
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=1-0,F=2-1",108.651297,-5.00958,5.21441,-3.7345
13CN,Cyanide Radical,"N=1-0,J=1/2-1/2,F1=1-1,F=2-2",108.657646,-5.14111,5.24162,-3.8661
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=2-1,F=3-2",108.780201,-4.97875,5.2475,-3.5581
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=2-1,F=1-0",108.786982,-5.24294,5.24883,-4.1903
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=2-1,F=2-2",108.7964,-5.56036,5.24828,-4.2859
13CN,Cyanide Radical,"N=1-0,J=3/2-1/2,F1=2-1,F=1-2",108.8078006,-6.48986,5.24883,-5.4373
13CN,Cyanide Radical,"N=1-0,J=1/2-1/2,F1=1-0,F=2-1",109.2176017,-6.1603,5.24159,-4.8875
13CN,Cyanide Radical,"N=2-1,J=5/2-3/2,F1=2-2,F=1-1",216.5599736,-5.51586,15.64195,-4.7735
13CN,Cyanide Radical,"N=2-1,J=5/2-3/2,F1=2-2,F=1-2",216.571365,-5.96703,15.64192,-5.2247
13CN,Cyanide Radical,"N=2-1,J=5/2-3/2,F1=2-2,F=2-2",216.5817202,-5.57406,15.64242,-4.6099
13CN,Cyanide Radical,"N=2-1,J=5/2-3/2,F1=2-2,F=2-3",216.59794,-6.18013,15.64248,-5.216
13CN,Cyanide Radical,"N=2-1,J=5/2-3/2,F1=2-2,F=3-3",216.6142934,-5.49512,15.64326,-4.3849
13CN,Cyanide Radical,"N=2-1,J=5/2-1/2,F1=2-1,F=1-1",216.7087876,-6.53356,15.64204,-5.7915
13CN,Cyanide Radical,"N=2-1,J=5/2-1/2,F1=2-1,F=2-2",216.7204917,-6.43279,15.64246,-5.4689
13CN,Cyanide Radical,"N=2-1,J=5/2-1/2,F1=2-1,F=3-2",216.7368451,-6.10428,15.64325,-4.9943
13CN,Cyanide Radical,"N=2-1,J=3/2-3/2,F1=1-2,F=0-1",216.8837698,-5.51198,15.65749,-5.2474
13CN,Cyanide Radical,"N=2-1,J=3/2-3/2,F1=1-2,F=1-1",216.8968105,-6.23167,15.65812,-5.49
13CN,Cyanide Radical,"N=2-1,J=3/2-3/2,F1=1-2,F=1-2",216.9082019,-5.64155,15.65809,-4.8999
13CN,Cyanide Radical,"N=2-1,J=3/2-3/2,F1=1-2,F=2-2",216.935421,-6.55324,15.6594,-5.5898
13CN,Cyanide Radical,"N=2-1,J=3/2-3/2,F1=1-2,F=2-3",216.9516408,-5.62261,15.65945,-4.6592
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=1-1,F=0-1",217.032603,-4.49678,15.65758,-4.2325
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=1-1,F=1-2",217.046988,-4.78967,15.65813,-4.0483
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=1-1,F=2-2",217.074239,-4.51997,15.65944,-3.5568
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=1-0,F=0-1",217.264639,-4.21853,15.6575,-3.9547
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=1-0,F=1-1",217.27768,-4.23612,15.65812,-3.4952
13CN,Cyanide Radical,"N=2-1,J=5/2-3/2,F1=2-1,F=3-2",217.303191,-4.01767,15.64323,-2.9088
13CN,Cyanide Radical,"N=2-1,J=3/2-3/2,F1=2-2,F=2-3",217.3151888,-5.49997,15.6769,-4.5373
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=2-1,F=3-2",217.428586,-4.11548,15.67644,-3.0069
13CN,Cyanide Radical,"N=2-1,J=3/2-1/2,F1=2-1,F=2-1",217.436353,-4.23013,15.67696,-3.2677
