Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-1,F=1-0' 'N=1-0,J=3/2-1/2,F1=1-1,F=0-1']",[108.0561506 108.0571294],[-6.6536  -6.06117],[5.21376 5.21338],[-5.598  -5.4827]
['13CN'],['Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-1,F=1-1']",[108.0629185],[-6.94757],[5.21365],[-5.892]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-1,F=1-2' 'N=1-0,J=3/2-1/2,F1=1-1,F=2-1']",[108.0769565 108.0772715],[-6.30021 -6.73996],[5.21375 5.21434],[-5.2447 -5.4626]
['13CN'],['Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-1,F=2-2']",[108.0913095],[-6.3117],[5.21444],[-5.0344]
['13CN'],['Cyanide Radical'],"['N=1-0,J=1/2-1/2,F1=0-1,F=1-0']",[108.4060979],[-6.02598],[5.23055],[-4.9718]
['13CN'],['Cyanide Radical'],"['N=1-0,J=1/2-1/2,F1=0-1,F=1-1']",[108.412862],[-5.50325],[5.23045],[-4.4491]
['13CN'],['Cyanide Radical'],"['N=1-0,J=1/2-1/2,F1=0-1,F=1-2']",[108.426889],[-5.2031],[5.23055],[-4.149]
['13CN'],['Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-0,F=0-1']",[108.631121],[-5.01889],[5.21344],[-4.4427]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-0,F=1-1' 'N=1-0,J=1/2-1/2,F1=1-1,F=1-0']",[108.636923 108.638212],[-5.01729 -5.44444],[5.21372 5.24169],[-3.964  -4.3912]
['13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=1/2-1/2,F1=1-1,F=2-1' 'N=1-0,J=1/2-1/2,F1=1-1,F=0-1'
 'N=1-0,J=1/2-1/2,F1=1-1,F=1-1']",[108.64359   108.6443602 108.645064 ],[-5.59257 -5.0187  -5.56192],[5.24152 5.24156 5.24159],[-4.3175 -4.4426 -4.5087]
['13CN'],['Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=1-0,F=2-1']",[108.651297],[-5.00958],[5.21441],[-3.7345]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=1/2-1/2,F1=1-1,F=2-2' 'N=1-0,J=1/2-1/2,F1=1-1,F=1-2']",[108.657646 108.658948],[-5.14111 -5.47756],[5.24162 5.24168],[-3.8661 -4.4244]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=2-1,F=3-2' 'N=1-0,J=3/2-1/2,F1=2-1,F=2-1']",[108.780201 108.782374],[-4.97875 -5.11071],[5.2475  5.24818],[-3.5581 -3.8362]
['13CN'],['Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=2-1,F=1-0']",[108.786982],[-5.24294],[5.24883],[-4.1903]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=3/2-1/2,F1=2-1,F=1-1' 'N=1-0,J=3/2-1/2,F1=2-1,F=2-2']",[108.793753 108.7964  ],[-5.35022 -5.56036],[5.24873 5.24828],[-4.2976 -4.2859]
