Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['C15N'],['Cyanide Radical'],"['N=1-0,J=1/2-1/2,F=1-1']",[109.68961],[-5.149],[5.2651],[-3.618]
['C15N'],['Cyanide Radical'],"['N=1-0,J=1/2-1/2,F=1-0']",[109.7089859],[-5.43513],[5.26517],[-3.9042]
['C15N'],['Cyanide Radical'],"['N=1-0,J=1/2-1/2,F=0-1']",[109.733657],[-4.96751],[5.26722],[-3.9138]
['C15N'],['Cyanide Radical'],"['N=1-0,J=3/2-1/2,F=1-1']",[110.0040915],[-5.43155],[5.2802],[-3.9018]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=1-0,J=3/2-1/2,F=1-0' 'N=1-0,J=3/2-1/2,F=2-1']",[110.02354 110.02459],[-5.14507 -4.96402],[5.28027 5.28118],[-3.6154 -3.2125]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F=2-2']",[219.3874932],[-4.81307],[15.81017],[-3.3727]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F=2-1']",[219.4079445],[-5.78133],[15.81014],[-4.341]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F=1-2']",[219.4178571],[-5.54166],[15.81162],[-4.3232]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F=1-1']",[219.4383083],[-4.83302],[15.8116],[-3.6146]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F=1-0']",[219.7087429],[-4.23899],[15.81163],[-3.0211]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F=2-1']",[219.7224877],[-4.06182],[15.81013],[-2.6221]
['C15N'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F=1-1']",[219.7528516],[-4.54481],[15.81159],[-3.327]
['C15N'],['Cyanide Radical'],"['N=2-1,J=5/2-3/2,F=2-2']",[219.9135891],[-4.97721],[15.83542],[-3.5379]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=5/2-3/2,F=2-1' 'N=2-1,J=5/2-3/2,F=3-2']",[219.93404 219.93482],[-4.02877 -3.98239],[15.83539 15.83643],[-2.5895 -2.397 ]
['C15N'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F=3-3']",[329.0785812],[-4.62734],[31.62957],[-3.236]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=5/2-5/2,F=3-2' 'N=3-2,J=5/2-5/2,F=2-3']",[329.0998867 329.1062791],[-5.94602 -5.77928],[31.62959 31.6309 ],[-4.5547 -4.5341]
['C15N'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F=2-2']",[329.1275846],[-4.62805],[31.63092],[-3.3829]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=5/2-3/2,F=2-1' 'N=3-2,J=5/2-3/2,F=3-2']",[329.6233167 329.6259826],[-3.50101 -3.45494],[31.63097 31.62966],[-2.2565 -2.0643]
['C15N'],['Cyanide Radical'],"['N=3-2,J=5/2-3/2,F=2-2']",[329.6536805],[-4.45868],[31.63099],[-3.2142]
['C15N'],['Cyanide Radical'],"['N=3-2,J=7/2-5/2,F=3-3']",[329.8158273],[-4.74315],[31.66496],[-3.3528]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=7/2-5/2,F=3-2' 'N=3-2,J=7/2-5/2,F=4-3']",[329.8371328 329.8376498],[-3.44582 -3.42436],[31.66497 31.666  ],[-2.0555 -1.9249]
['C15N'],['Cyanide Radical'],"['N=4-3,J=7/2-7/2,F=4-4']",[438.7572707],[-4.49838],[52.72291],[-3.1495]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=4-3,J=7/2-7/2,F=4-3' 'N=4-3,J=7/2-7/2,F=3-4']",[438.7790932 438.783848 ],[-6.06146 -5.93091],[52.72295 52.72419],[-4.7126 -4.6912]
['C15N'],['Cyanide Radical'],"['N=4-3,J=7/2-7/2,F=3-3']",[438.8056705],[-4.49608],[52.72423],[-3.2564]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=4-3,J=7/2-5/2,F=3-2' 'N=4-3,J=7/2-5/2,F=4-3']",[439.5152187 439.5163393],[-3.07161 -3.05025],[52.72418 52.72294],[-1.8326 -1.7021]
['C15N'],['Cyanide Radical'],"['N=4-3,J=7/2-5/2,F=3-3']",[439.5429166],[-4.37528],[52.72421],[-3.1363]
['C15N'],['Cyanide Radical'],"['N=4-3,J=9/2-7/2,F=4-4']",[439.7055307],[-4.58761],[52.76842],[-3.2397]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=4-3,J=9/2-7/2,F=4-3' 'N=4-3,J=9/2-7/2,F=5-4']",[439.7273532 439.7276923],[-3.04629 -3.03393],[52.76846 52.76948],[-1.6984 -1.5989]
['C15N'],['Cyanide Radical'],"['N=5-4,J=9/2-9/2,F=5-5']",[548.4189],[-4.39943],[79.08924],[-3.0946]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=5-4,J=9/2-9/2,F=5-4' 'N=5-4,J=9/2-9/2,F=4-5']",[548.4410616 548.4448639],[-6.15161 -6.04266],[79.08929 79.09048],[-4.8468 -4.825 ]
['C15N'],['Cyanide Radical'],"['N=5-4,J=9/2-9/2,F=4-4']",[548.4670255],[-4.39654],[79.09054],[-3.1789]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=5-4,J=9/2-7/2,F=4-3' 'N=5-4,J=9/2-7/2,F=5-4']",[549.3887082 549.3893216],[-2.75614 -2.7438 ],[79.0906  79.08934],[-1.5392 -1.4397]
['C15N'],['Cyanide Radical'],"['N=5-4,J=9/2-7/2,F=4-4']",[549.4152855],[-4.30232],[79.09058],[-3.0854]
['C15N'],['Cyanide Radical'],"['N=5-4,J=11/2-9/2,F=5-5']",[549.5781092],[-4.47187],[79.14487],[-3.168]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=5-4,J=11/2-9/2,F=5-4' 'N=5-4,J=11/2-9/2,F=6-5']",[549.6002708 549.6005086],[-2.74166 -2.73361],[79.14493 79.14594],[-1.4378 -1.3572]
['C15N'],['Cyanide Radical'],"['N=6-5,J=11/2-11/2,F=6-6']",[658.0590114],[-4.319],[110.72762],[-3.0627]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=6-5,J=11/2-11/2,F=6-5' 'N=6-5,J=11/2-11/2,F=5-6']",[658.0814107 658.0845898],[-6.22578 -6.13123],[110.72768 110.72884],[-4.9695 -4.9475]
['C15N'],['Cyanide Radical'],"['N=6-5,J=11/2-11/2,F=5-5']",[658.1069892],[-4.31621],[110.72891],[-3.1325]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=6-5,J=11/2-9/2,F=5-4' 'N=6-5,J=11/2-9/2,F=6-5']",[659.2402345 659.2406199],[-2.50461 -2.49656],[110.72891 110.72764],[-1.3216 -1.241 ]
['C15N'],['Cyanide Radical'],"['N=6-5,J=11/2-9/2,F=5-5']",[659.2661984],[-4.23879],[110.72886],[-3.0558]
['C15N'],['Cyanide Radical'],"['N=6-5,J=13/2-11/2,F=6-6']",[659.4291318],[-4.37985],[110.79337],[-3.1245]
['C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical'],"['N=6-5,J=13/2-11/2,F=6-5' 'N=6-5,J=13/2-11/2,F=7-6']",[659.4515312 659.4517063],[-2.49523 -2.48958],[110.79344 110.79445],[-1.2399 -1.1721]
['C15N'],['Cyanide Radical'],"['N=7-6,J=13/2-13/2,F=7-7']",[767.6732163],[-4.25138],[147.63683],[-3.0494]
['C15N'],['Cyanide Radical'],"['N=7-6,J=13/2-13/2,F=6-6']",[767.7211055],[-4.24871],[147.63798],[-3.1089]
['C15N' 'C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=7-6,J=13/2-11/2,F=6-5' 'N=7-6,J=13/2-11/2,F=7-6'
 'N=7-6,J=13/2-11/2,F=6-6']",[769.0656475 769.0659112 769.091226 ],[-2.29479 -2.28924 -4.18288],[147.63805 147.63677 147.63798],[-1.1557 -1.088  -3.0438]
['C15N' 'C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=7-6,J=15/2-13/2,F=7-7' 'N=7-6,J=15/2-13/2,F=7-6'
 'N=7-6,J=15/2-13/2,F=8-7']",[769.254222  769.2767965 769.2769302],[-4.30373 -2.28822 -2.28408],[147.71271 147.71264 147.7138 ],[-3.1027 -1.0872 -1.0287]
['C15N'],['Cyanide Radical'],"['N=8-7,J=15/2-15/2,F=8-8']",[877.2571562],[-4.19292],[189.81524],[-3.0517]
['C15N'],['Cyanide Radical'],"['N=8-7,J=15/2-15/2,F=7-7']",[877.304988],[-4.19054],[189.81638],[-3.1037]
['C15N' 'C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=8-7,J=15/2-13/2,F=7-6' 'N=8-7,J=15/2-13/2,F=8-7'
 'N=8-7,J=15/2-13/2,F=7-7']",[878.860679  878.8608701 878.8859938],[-2.11472 -2.11058 -4.13311],[189.81651 189.81523 189.81643],[-1.0286 -0.9701 -3.047 ]
['C15N' 'C15N' 'C15N'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=8-7,J=17/2-15/2,F=8-8' 'N=8-7,J=17/2-15/2,F=8-7'
 'N=8-7,J=17/2-15/2,F=9-8']",[879.0490271 879.0717352 879.0718403],[-4.23877 -2.10986 -2.10656],[189.90123 189.90117 189.90233],[-3.0985 -0.9696 -0.918 ]
