Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['C34Sv=0'],['Carbon Monosulfide'],['2-1'],[96.41294],[-4.79429],[6.24804],[-2.7421]
['C34Sv=0'],['Carbon Monosulfide'],['3-2'],[144.617109],[-4.23807],[11.80342],[-2.2222]
['C34Sv=0'],['Carbon Monosulfide'],['4-3'],[192.818464],[-3.85058],[18.97955],[-1.8592]
['C34Sv=0'],['Carbon Monosulfide'],['5-4'],[241.016194],[-3.55419],[27.77628],[-1.5836]
['C34Sv=0'],['Carbon Monosulfide'],['6-5'],[289.20923],[-3.31518],[38.19356],[-1.3646]
['C34Sv=0'],['Carbon Monosulfide'],['7-6'],[337.3966901],[-3.11566],[50.23104],[-1.1856]
['C34Sv=0'],['Carbon Monosulfide'],['8-7'],[385.5775984],[-2.94516],[63.88849],[-1.0368]
['C34Sv=0'],['Carbon Monosulfide'],['9-8'],[433.7509839],[-2.79711],[79.16575],[-0.912]
['C34Sv=0'],['Carbon Monosulfide'],['10-9'],[481.9158594],[-2.66678],[96.06247],[-0.8067]
['C34Sv=0'],['Carbon Monosulfide'],['11-10'],[530.0712208],[-2.55092],[114.5782],[-0.7178]
['C34Sv=0'],['Carbon Monosulfide'],['12-11'],[578.2160459],[-2.44722],[134.71279],[-0.6431]
['C34Sv=0'],['Carbon Monosulfide'],['13-12'],[626.3492919],[-2.35383],[156.46568],[-0.5808]
['C34Sv=0'],['Carbon Monosulfide'],['14-13'],[674.4698941],[-2.26939],[179.83654],[-0.5296]
['C34Sv=0'],['Carbon Monosulfide'],['15-14'],[722.5767639],[-2.19286],[204.82478],[-0.4885]
['C34Sv=0'],['Carbon Monosulfide'],['16-15'],[770.6687866],[-2.12321],[231.42987],[-0.4565]
['C34Sv=0'],['Carbon Monosulfide'],['17-16'],[818.7448201],[-2.05974],[259.65144],[-0.4329]
['C34Sv=0'],['Carbon Monosulfide'],['18-17'],[866.8036928],[-2.00191],[289.48873],[-0.4172]
['C34Sv=0'],['Carbon Monosulfide'],['19-18'],[914.8442016],[-1.94922],[320.94107],[-0.4089]
