Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CCD,Ethynyl,"N=2-1,J=5/2-3/2,F=7/2-5/2",144.2419354,-5.08285,10.38371,-3.6095
CCD,Ethynyl,"N=2-1,J=3/2-1/2,F=5/2-3/2",144.2967209,-5.17174,10.39022,-3.8235
CCD,Ethynyl,"N=2-1,J=3/2-3/2,F=5/2-5/2",144.3767086,-5.9004,10.39018,-4.5524
CCD,Ethynyl,"N=3-2,J=7/2-5/2,F=9/2-7/2",216.3728371,-4.52463,20.76805,-3.143
CCD,Ethynyl,"N=3-2,J=5/2-3/2,F=7/2-5/2",216.4282532,-4.5569,20.77718,-3.2723
CCD,Ethynyl,"N=3-2,J=5/2-5/2,F=7/2-7/2",216.5630264,-5.70923,20.77717,-4.4249
CCD,Ethynyl,"N=3-2,J=5/2-5/2,F=5/2-5/2",216.5708344,-5.83508,20.77726,-4.6757
CCD,Ethynyl,"N=4-3,J=9/2-7/2,F=11/2-9/2",288.4988349,-4.13395,34.61387,-2.8156
CCD,Ethynyl,"N=4-3,J=7/2-5/2,F=9/2-7/2",288.5544885,-4.15057,34.62575,-2.9115
CCD,Ethynyl,"N=4-3,J=7/2-7/2,F=9/2-9/2",288.7446778,-5.57989,34.62567,-4.3411
CCD,Ethynyl,"N=5-4,J=11/2-9/2,F=13/2-11/2",360.6183094,-3.83346,51.92095,-2.5676
CCD,Ethynyl,"N=5-4,J=9/2-7/2,F=11/2-9/2",360.6740981,-3.84353,51.93543,-2.6447
CCD,Ethynyl,"N=5-4,J=9/2-9/2,F=11/2-11/2",360.919941,-5.48164,51.93543,-4.2831
CCD,Ethynyl,"N=6-5,J=13/2-11/2,F=15/2-13/2",432.7296351,-3.58935,72.68879,-2.3722
CCD,Ethynyl,"N=6-5,J=11/2-9/2,F=13/2-11/2",432.7855255,-3.59608,72.706,-2.437
CCD,Ethynyl,"N=6-5,J=11/2-11/2,F=13/2-13/2",433.087157,-5.40219,72.70595,-4.2434
CCD,Ethynyl,"N=7-6,J=15/2-13/2,F=17/2-15/2",504.8311849,-3.38374,96.91701,-2.2149
CCD,Ethynyl,"N=7-6,J=13/2-11/2,F=15/2-13/2",504.8871667,-3.38861,96.93697,-2.271
CCD,Ethynyl,"N=7-6,J=13/2-13/2,F=15/2-15/2",505.2446886,-5.33552,96.93686,-4.2182
CCD,Ethynyl,"N=8-7,J=17/2-15/2,F=19/2-17/2",576.9213312,-3.20618,124.60512,-2.0871
CCD,Ethynyl,"N=8-7,J=15/2-13/2,F=17/2-15/2",576.9774034,-3.20985,124.62766,-2.1366
CCD,Ethynyl,"N=8-7,J=15/2-15/2,F=17/2-17/2",577.3909071,-5.27796,124.62765,-4.205
CCD,Ethynyl,"N=9-8,J=19/2-17/2,F=21/2-19/2",648.9984459,-3.05,155.7523,-1.9832
CCD,Ethynyl,"N=9-8,J=17/2-15/2,F=19/2-17/2",649.0546121,-3.05284,155.77758,-2.0275
CCD,Ethynyl,"N=9-8,J=17/2-17/2,F=19/2-19/2",649.524188,-5.22724,155.77753,-4.2022
CCD,Ethynyl,"N=10-9,J=21/2-19/2,F=23/2-21/2",721.0609009,-2.91052,190.35805,-1.8992
CCD,Ethynyl,"N=10-9,J=19/2-17/2,F=21/2-19/2",721.117167,-2.91276,190.38593,-1.9393
CCD,Ethynyl,"N=10-9,J=19/2-19/2,F=21/2-21/2",721.6429091,-5.18196,190.38598,-4.2088
CCD,Ethynyl,"N=11-10,J=23/2-21/2,F=25/2-23/2",793.107068,-2.78457,228.42143,-1.8324
CCD,Ethynyl,"N=11-10,J=21/2-19/2,F=23/2-21/2",793.1634411,-2.78644,228.45205,-1.8691
CCD,Ethynyl,"N=11-10,J=21/2-21/2,F=23/2-23/2",793.7454494,-5.14104,228.45207,-4.224
CCD,Ethynyl,"N=12-11,J=25/2-23/2,F=27/2-25/2",865.135319,-2.66975,269.94164,-1.7807
CCD,Ethynyl,"N=12-11,J=23/2-21/2,F=25/2-23/2",865.1918071,-2.67129,269.975,-1.8145
CCD,Ethynyl,"N=12-11,J=23/2-23/2,F=25/2-25/2",865.8301884,-5.1037,269.97499,-4.2472
CCD,Ethynyl,"N=13-12,J=27/2-25/2,F=29/2-27/2",937.1440257,-2.56425,314.91775,-1.7425
CCD,Ethynyl,"N=13-12,J=25/2-23/2,F=27/2-25/2",937.2006371,-2.56551,314.95384,-1.7738
CCD,Ethynyl,"N=13-12,J=25/2-25/2,F=27/2-27/2",937.8955064,-5.06941,314.95381,-4.278
