Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CCD' 'CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=2-1,J=5/2-3/2,F=3/2-5/2' 'N=2-1,J=5/2-3/2,F=5/2-5/2'
 'N=2-1,J=5/2-3/2,F=3/2-3/2' 'N=2-1,J=5/2-3/2,F=7/2-5/2'
 'N=2-1,J=5/2-3/2,F=3/2-1/2' 'N=2-1,J=5/2-3/2,F=5/2-3/2']",[144.2338182 144.2371441 144.2397282 144.2419354 144.2429732 144.2430541],[-7.13684 -5.91202 -5.71872 -5.08285 -5.20231 -5.15281],[10.38332 10.38348 10.38332 10.38371 10.38333 10.38348],[-5.9645 -4.5636 -4.5464 -3.6095 -4.03   -3.8044]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=2-1,J=3/2-1/2,F=5/2-3/2' 'N=2-1,J=3/2-1/2,F=3/2-1/2'
 'N=2-1,J=3/2-1/2,F=1/2-1/2' 'N=2-1,J=3/2-1/2,F=3/2-3/2'
 'N=2-1,J=3/2-1/2,F=1/2-3/2']",[144.2967209 144.2975418 144.299033  144.2995599 144.3010511],[-5.17174 -5.42574 -5.20201 -5.48774 -6.0692 ],[10.39022 10.39026 10.39034 10.39036 10.39043],[-3.8235 -4.2536 -4.3309 -4.3156 -5.1981]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=2-1,J=3/2-3/2,F=5/2-5/2' 'N=2-1,J=3/2-3/2,F=3/2-5/2'
 'N=2-1,J=3/2-3/2,F=5/2-3/2' 'N=2-1,J=3/2-3/2,F=3/2-3/2'
 'N=2-1,J=3/2-3/2,F=1/2-3/2' 'N=2-1,J=3/2-3/2,F=3/2-1/2'
 'N=2-1,J=3/2-3/2,F=1/2-1/2']","[144.3767086 144.3795476 144.3826186 144.3854576 144.3869488 144.3887025
 144.3901937]",[-5.9004  -6.4671  -6.54698 -6.20468 -6.27805 -6.51717 -6.21144],[10.39018 10.39032 10.39017 10.39031 10.39038 10.39032 10.39039],[-4.5524 -5.2952 -5.199  -5.0328 -5.4072 -5.3453 -5.3406]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=3-2,J=7/2-5/2,F=7/2-7/2' 'N=3-2,J=7/2-5/2,F=5/2-5/2'
 'N=3-2,J=7/2-5/2,F=9/2-7/2' 'N=3-2,J=7/2-5/2,F=5/2-3/2'
 'N=3-2,J=7/2-5/2,F=7/2-5/2']",[216.3685316 216.3699882 216.3728371 216.373314  216.3733229],[-5.63443 -5.50179 -4.52463 -4.57398 -4.55972],[20.76784 20.76762 20.76805 20.76764 20.76778],[-4.3497 -4.342  -3.143  -3.4142 -3.275 ]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=3-2,J=5/2-3/2,F=7/2-5/2' 'N=3-2,J=5/2-3/2,F=5/2-3/2'
 'N=3-2,J=5/2-3/2,F=3/2-1/2' 'N=3-2,J=5/2-3/2,F=3/2-3/2'
 'N=3-2,J=5/2-3/2,F=5/2-5/2' 'N=3-2,J=5/2-3/2,F=3/2-5/2']",[216.4282532 216.4284309 216.4288754 216.4303666 216.4312699 216.4332056],[-4.5569  -4.63236 -4.67917 -5.16146 -5.33035 -6.51906],[20.77718 20.77733 20.77735 20.77743 20.77733 20.77742],[-3.2723 -3.4727 -3.6956 -4.1779 -4.1707 -5.5355]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=3-2,J=5/2-5/2,F=7/2-7/2' 'N=3-2,J=5/2-5/2,F=5/2-7/2'
 'N=3-2,J=5/2-5/2,F=7/2-5/2' 'N=3-2,J=5/2-5/2,F=5/2-5/2'
 'N=3-2,J=5/2-5/2,F=3/2-5/2' 'N=3-2,J=5/2-5/2,F=5/2-3/2'
 'N=3-2,J=5/2-5/2,F=3/2-3/2']","[216.5630264 216.566043  216.5678177 216.5708344 216.5727701 216.5741602
 216.5760959]",[-5.70923 -6.65179 -6.66572 -5.83508 -6.52858 -6.62557 -5.82908],[20.77717 20.77732 20.77712 20.77726 20.77735 20.77728 20.77737],[-4.4249 -5.4924 -5.3814 -4.6757 -5.5453 -5.4662 -4.8458]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=4-3,J=9/2-7/2,F=9/2-9/2' 'N=4-3,J=9/2-7/2,F=7/2-7/2'
 'N=4-3,J=9/2-7/2,F=11/2-9/2' 'N=4-3,J=9/2-7/2,F=9/2-7/2'
 'N=4-3,J=9/2-7/2,F=7/2-5/2']",[288.4947994 288.4957734 288.4988349 288.4991049 288.4991082],[-5.45627 -5.35506 -4.13395 -4.15517 -4.16126],[34.61367 34.61358 34.61387 34.61374 34.61359],[-4.2171 -4.2128 -2.8156 -2.916  -3.019 ]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=4-3,J=7/2-5/2,F=9/2-7/2' 'N=4-3,J=7/2-5/2,F=7/2-5/2'
 'N=4-3,J=7/2-5/2,F=5/2-3/2' 'N=4-3,J=7/2-5/2,F=5/2-5/2'
 'N=4-3,J=7/2-5/2,F=7/2-7/2']",[288.5544885 288.5545644 288.554817  288.5567527 288.557581 ],[-4.15057 -4.18746 -4.20062 -5.10172 -5.22255],[34.62575 34.62589 34.62591 34.626   34.6259 ],[-2.9115 -3.0453 -3.1834 -4.0845 -4.0804]
['CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=4-3,J=7/2-7/2,F=9/2-9/2' 'N=4-3,J=7/2-7/2,F=9/2-7/2'
 'N=4-3,J=7/2-7/2,F=7/2-7/2' 'N=4-3,J=7/2-7/2,F=5/2-5/2']",[288.7446778 288.7489834 288.7520758 288.7575988],[-5.57989 -6.76368 -5.65337 -5.65392],[34.62567 34.62573 34.62588 34.626  ],[-4.3411 -5.5249 -4.5115 -4.637 ]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=5-4,J=11/2-9/2,F=11/2-11/2' 'N=5-4,J=11/2-9/2,F=9/2-9/2'
 'N=5-4,J=11/2-9/2,F=13/2-11/2' 'N=5-4,J=11/2-9/2,F=11/2-9/2'
 'N=5-4,J=11/2-9/2,F=9/2-7/2']",[360.6144454 360.6151549 360.6183094 360.618481  360.6184863],[-5.32672 -5.24484 -3.83346 -3.84772 -3.85084],[51.92077 51.92066 51.92095 51.92082 51.92067],[-4.1278 -4.1251 -2.5676 -2.6488 -2.7311]
