Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CCHv=0,Ethynyl,"N=1-0,J=3/2-1/2,F=1-1",87.284156,-6.42627,4.19111,-5.0204
CCHv=0,Ethynyl,"N=1-0,J=3/2-1/2,F=2-1",87.316925,-5.65605,4.19269,-4.0285
CCHv=0,Ethynyl,"N=1-0,J=3/2-1/2,F=1-0",87.328624,-5.73675,4.19109,-4.3311
CCHv=0,Ethynyl,"N=1-0,J=1/2-1/2,F=1-1",87.402004,-5.73568,4.19677,-4.3304
CCHv=0,Ethynyl,"N=1-0,J=1/2-1/2,F=0-1",87.407165,-5.65473,4.19702,-4.7266
CCHv=0,Ethynyl,"N=1-0,J=1/2-1/2,F=1-0",87.446512,-6.42386,4.19675,-5.0188
CCHv=0,Ethynyl,"N=2-1,J=5/2-3/2,F=3-2",174.663222,-4.67359,12.57518,-3.2101
CCHv=0,Ethynyl,"N=2-1,J=3/2-1/2,F=2-1",174.721777,-4.77621,12.58202,-3.459
CCHv=0,Ethynyl,"N=2-1,J=3/2-1/2,F=1-0",174.7281,-4.92834,12.58261,-3.833
CCHv=0,Ethynyl,"N=2-1,J=3/2-3/2,F=2-2",174.8068272,-5.4135,12.58207,-4.0965
CCHv=0,Ethynyl,"N=3-2,J=7/2-5/2,F=4-3",262.0042266,-4.11528,25.14927,-2.7339
CCHv=0,Ethynyl,"N=3-2,J=5/2-3/2,F=3-2",262.0648433,-4.15212,25.15909,-2.88
CCHv=0,Ethynyl,"N=3-2,J=5/2-3/2,F=2-2",262.0787758,-5.06197,25.15976,-3.936
CCHv=0,Ethynyl,"N=3-2,J=5/2-5/2,F=3-3",262.2084388,-5.24319,25.15907,-3.9713
CCHv=0,Ethynyl,"N=4-3,J=9/2-7/2,F=5-4",349.3374558,-3.72468,41.9147,-2.4023
CCHv=0,Ethynyl,"N=4-3,J=7/2-5/2,F=4-3",349.3989061,-3.74323,41.92744,-2.5081
CCHv=0,Ethynyl,"N=5-4,J=11/2-9/2,F=6-5",436.6603711,-3.42426,62.87106,-2.1535
CCHv=0,Ethynyl,"N=5-4,J=9/2-7/2,F=5-4",436.7222257,-3.43532,62.88669,-2.2372
CCHv=0,Ethynyl,"N=6-5,J=13/2-11/2,F=7-6",523.9704068,-3.18011,88.0175,-1.9597
CCHv=0,Ethynyl,"N=6-5,J=11/2-9/2,F=6-5",524.0324857,-3.18739,88.03616,-2.0292
CCHv=0,Ethynyl,"N=7-6,J=15/2-13/2,F=8-7",611.264992,-2.97456,117.35332,-1.8061
CCHv=0,Ethynyl,"N=7-6,J=13/2-11/2,F=7-6",611.3272077,-2.97972,117.37501,-1.8657
CCHv=0,Ethynyl,"N=8-7,J=17/2-15/2,F=9-8",698.541554,-2.79705,150.87797,-1.6837
CCHv=0,Ethynyl,"N=8-7,J=15/2-13/2,F=8-7",698.6038591,-2.80087,150.90254,-1.7359
CCHv=0,Ethynyl,"N=9-8,J=19/2-17/2,F=9-8",785.7977826,-2.64313,188.58889,-1.6324
CCHv=0,Ethynyl,"N=9-8,J=17/2-15/2,F=9-8",785.859886,-2.64376,188.61763,-1.6331
CCHv=0,Ethynyl,"N=10-9,J=21/2-19/2,F=10-9",873.0305279,-2.50332,230.48752,-1.5524
CCHv=0,Ethynyl,"N=10-9,J=19/2-17/2,F=9-8",873.0929449,-2.50608,230.52016,-1.5987
