Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CCHv=0'],['Ethynyl'],"['N=1-0,J=3/2-1/2,F=1-1']",[87.284156],[-6.42627],[4.19111],[-5.0204]
['CCHv=0'],['Ethynyl'],"['N=1-0,J=3/2-1/2,F=2-1']",[87.316925],[-5.65605],[4.19269],[-4.0285]
['CCHv=0'],['Ethynyl'],"['N=1-0,J=3/2-1/2,F=1-0']",[87.328624],[-5.73675],[4.19109],[-4.3311]
['CCHv=0'],['Ethynyl'],"['N=1-0,J=1/2-1/2,F=1-1']",[87.402004],[-5.73568],[4.19677],[-4.3304]
['CCHv=0'],['Ethynyl'],"['N=1-0,J=1/2-1/2,F=0-1']",[87.407165],[-5.65473],[4.19702],[-4.7266]
['CCHv=0'],['Ethynyl'],"['N=1-0,J=1/2-1/2,F=1-0']",[87.446512],[-6.42386],[4.19675],[-5.0188]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=2-1,J=5/2-3/2,F=3-2' 'N=2-1,J=5/2-3/2,F=2-1']",[174.663222 174.667685],[-4.67359 -4.70605],[12.57518 12.57381],[-3.2101 -3.3887]
['CCHv=0'],['Ethynyl'],"['N=2-1,J=3/2-1/2,F=2-1']",[174.721777],[-4.77621],[12.58202],[-3.459]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=2-1,J=3/2-1/2,F=1-0' 'N=2-1,J=3/2-1/2,F=1-1']",[174.7281    174.7331949],[-4.92834 -5.13413],[12.58261 12.58257],[-3.833  -4.0388]
['CCHv=0'],['Ethynyl'],"['N=2-1,J=3/2-3/2,F=2-2']",[174.8068272],[-5.4135],[12.58207],[-4.0965]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=3-2,J=7/2-5/2,F=4-3' 'N=3-2,J=7/2-5/2,F=3-2']",[262.0042266 262.0064034],[-4.11528 -4.13213],[25.14927 25.14794],[-2.7339 -2.8599]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=3-2,J=5/2-3/2,F=3-2' 'N=3-2,J=5/2-3/2,F=2-1']",[262.0648433 262.0673312],[-4.15212 -4.19069],[25.15909 25.15978],[-2.88   -3.0647]
['CCHv=0'],['Ethynyl'],"['N=3-2,J=5/2-3/2,F=2-2']",[262.0787758],[-5.06197],[25.15976],[-3.936]
['CCHv=0'],['Ethynyl'],"['N=3-2,J=5/2-5/2,F=3-3']",[262.2084388],[-5.24319],[25.15907],[-3.9713]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=4-3,J=9/2-7/2,F=5-4' 'N=4-3,J=9/2-7/2,F=4-3']",[349.3374558 349.3387284],[-3.72468 -3.73493],[41.9147  41.91347],[-2.4023 -2.4997]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=4-3,J=7/2-5/2,F=4-3' 'N=4-3,J=7/2-5/2,F=3-2']",[349.3989061 349.4002918],[-3.74323 -3.76139],[41.92744 41.92822],[-2.5081 -2.6354]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=5-4,J=11/2-9/2,F=6-5' 'N=5-4,J=11/2-9/2,F=5-4']",[436.6603711 436.6612014],[-3.42426 -3.43111],[62.87106 62.8698 ],[-2.1535 -2.2329]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=5-4,J=9/2-7/2,F=5-4' 'N=5-4,J=9/2-7/2,F=4-3']",[436.7222257 436.7231103],[-3.43532 -3.44607],[62.88669 62.88745],[-2.2372 -2.3351]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=6-5,J=13/2-11/2,F=7-6' 'N=6-5,J=13/2-11/2,F=6-5']",[523.9704068 523.9709898],[-3.18011 -3.18506],[88.0175  88.01637],[-1.9597 -2.0268]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=6-5,J=11/2-9/2,F=6-5' 'N=6-5,J=11/2-9/2,F=5-4']",[524.0324857 524.0330992],[-3.18739 -3.19453],[88.03616 88.03691],[-2.0292 -2.1089]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=7-6,J=15/2-13/2,F=8-7' 'N=7-6,J=15/2-13/2,F=7-6']",[611.264992  611.2654234],[-2.97456 -2.9783 ],[117.35332 117.35233],[-1.8061 -1.8642]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=7-6,J=13/2-11/2,F=7-6' 'N=7-6,J=13/2-11/2,F=6-5']",[611.3272077 611.327658 ],[-2.97972 -2.98478],[117.37501 117.37589],[-1.8657 -1.9329]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=8-7,J=17/2-15/2,F=9-8' 'N=8-7,J=17/2-15/2,F=8-7']",[698.541554 698.541886],[-2.79705 -2.79995],[150.87797 150.87683],[-1.6837 -1.7349]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=8-7,J=15/2-13/2,F=8-7' 'N=8-7,J=15/2-13/2,F=7-6']",[698.6038591 698.6042035],[-2.80087 -2.80471],[150.90254 150.90342],[-1.7359 -1.7941]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=9-8,J=19/2-17/2,F=10-9' 'N=9-8,J=19/2-17/2,F=9-8']",[785.7975193 785.7977826],[-2.64079 -2.64313],[188.59003 188.58889],[-1.5866 -1.6324]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=9-8,J=17/2-15/2,F=9-8' 'N=9-8,J=17/2-15/2,F=8-7']",[785.859886  785.8601579],[-2.64376 -2.64675],[188.61763 188.6185 ],[-1.6331 -1.6844]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=10-9,J=21/2-19/2,F=11-10' 'N=10-9,J=21/2-19/2,F=10-9']",[873.0303141 873.0305279],[-2.50133 -2.50332],[230.48866 230.48752],[-1.5109 -1.5524]
['CCHv=0' 'CCHv=0'],['Ethynyl' 'Ethynyl'],"['N=10-9,J=19/2-17/2,F=10-9' 'N=10-9,J=19/2-17/2,F=9-8']",[873.0927248 873.0929449],[-2.50375 -2.50608],[230.51928 230.52016],[-1.5529 -1.5987]
