Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CH2CN,Cyanomethyl,"21(1,20)-21(1,21),J=43/2-43/2",85.1781179,-6.71874,238.23295,-5.9058
CH2CN,Cyanomethyl,"21(1,20)-21(1,21),J=41/2-41/2",85.4153041,-6.71651,238.2534,-5.925
CH2CN,Cyanomethyl,"22(1,21)-22(1,22),J=45/2-45/2",93.2817515,-6.63975,259.65651,-5.8777
CH2CN,Cyanomethyl,"22(1,21)-22(1,22),J=43/2-43/2",93.5299159,-6.63757,259.67778,-5.896
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J=9/2-7/2",99.6694292,-4.22005,27.55633,-3.8133
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J+F=6-6,S=5-1",99.6750762,-5.6933,27.5506,-5.6845
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J+F=5-5,S=12-5",99.6798726,-5.61479,27.55011,-5.6852
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J+F=5-5,S=13-6",99.6840993,-5.52436,27.55852,-5.5948
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J=11/2-9/2",99.6892944,-4.21025,27.5485,-3.7244
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J+F=6-6,S=6-1",99.827447,-5.87373,27.55792,-5.8656
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J=9/2-9/2",99.8515064,-5.86236,27.55629,-5.4564
CH2CN,Cyanomethyl,"5(1,5)-4(1,4),J+F=5-5,S=13-5",99.8568116,-5.89742,27.55861,-5.9686
CH2CN,Cyanomethyl,"5(4,2)-4(4,1),J+F=7-6,S=4-4",100.2923842,-4.63558,225.46241,-4.849
CH2CN,Cyanomethyl,"5(4,1)-4(4,0),J=9/2-7/2",100.2978504,-4.63577,225.4566,-4.0411
CH2CN,Cyanomethyl,"5(3,3)-4(3,2),J=9/2-7/2",100.4369646,-4.38506,133.22914,-4.1346
