Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['5(4)-4(4),F=5-4' '5(4)-4(4)' '5(4)-4(4),F=6-5' '5(4)-4(4),F=4-3']",[91.957881  91.958726  91.9590223 91.9593567],[-5.29904 -4.80414 -5.28129 -5.30329],[127.54349 127.54339 127.5434  127.54342],[-4.3493 -3.8544 -4.259  -4.4407]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['5(3)-4(3),F=5-4' '5(3)-4(3)' '5(3)-4(3),F=6-5' '5(3)-4(3),F=4-3']",[91.9706551 91.9711304 91.9713075 91.9714624],[-5.04899 -4.55409 -5.03124 -5.05324],[77.54614 77.54602 77.54602 77.54603],[-3.7259 -3.231  -3.6356 -3.8173]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['5(2)-4(2),F=5-4' '5(2)-4(2)' '5(2)-4(2),F=6-5' '5(2)-4(2),F=4-3']",[91.979783  91.9799943 91.9800863 91.9801129],[-4.93073 -4.43593 -4.91298 -4.93498],[41.82554 41.82555 41.82555 41.82556],[-3.857  -3.3622 -3.7667 -3.9484]
"['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'
 'CH3CNv=0' 'CH3CNv=0']","['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'
 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide']","['5(1)-4(1),F=5-4' '5(1)-4(1),F=4-3' '5(1)-4(1)' '5(1)-4(1),F=6-5'
 '5(0)-4(0),F=4-3' '5(0)-4(0)' '5(0)-4(0)' '5(0)-4(0),F=6-5']","[91.9852613 91.9853047 91.9853141 91.985355  91.9870355 91.9870876
 91.9870876 91.9871115]",[-4.87264 -4.87688 -4.37783 -4.85489 -4.85912 -4.85487 -4.36007 -4.83712],[20.3899  20.39005 20.39005 20.39005 13.24425 13.24426 13.24426 13.24426],[-3.7679 -3.8593 -3.2731 -3.6776 -3.8312 -3.7398 -3.245  -3.6495]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['6(5)-5(5),F=6-5' '6(5)-5(5)' '6(5)-5(5),F=7-6' '6(5)-5(5),F=5-4']",[110.3295906 110.330345  110.3306248 110.3308701],[-5.12084 -4.63143 -5.10858 -5.12318],[197.10135 197.10124 197.10125 197.10127],[-4.2777 -3.7883 -4.2033 -4.3526]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['6(4)-5(4),F=6-5' '6(4)-5(4)' '6(4)-5(4),F=7-6' '6(4)-5(4),F=5-4']",[110.3489875 110.3494703 110.3496559 110.3497942],[-4.86089 -4.37159 -4.84873 -4.86333],[132.83946 132.83934 132.83935 132.83936],[-3.9248 -3.4355 -3.8505 -3.9998]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],"['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'
 'Methyl Cyanide' 'Methyl Cyanide']","['6(3)-5(3),F=6-6' '6(3)-5(3),F=6-5' '6(3)-5(3)' '6(3)-5(3),F=7-6'
 '6(3)-5(3),F=5-4' '6(3)-5(3),F=5-5']",[110.3639274 110.3640821 110.3643537 110.364466  110.3645211 110.36469  ],[-6.27454 -4.73044 -4.24104 -4.71818 -4.73278 -6.20188],[82.84279 82.8428  82.84281 82.84282 82.84282 82.84283],[-4.9651 -3.421  -2.9316 -3.3466 -3.4959 -4.965 ]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['6(2)-5(2),F=6-5' '6(2)-5(2)' '6(2)-5(2),F=5-4' '6(2)-5(2),F=7-6']",[110.3748683 110.374989  110.3750447 110.3750489],[-4.65647 -4.16717 -4.65882 -4.64422],[47.12271 47.12272 47.12272 47.12272],[-3.5964 -3.1071 -3.6713 -3.522 ]
"['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'
 'CH3CNv=0' 'CH3CNv=0']","['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'
 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide']","['6(1)-5(1),F=6-5' '6(1)-5(1),F=5-4' '6(1)-5(1)' '6(1)-5(1),F=7-6'
 '6(0)-5(0),F=5-4' '6(0)-5(0)' '6(0)-5(0)' '6(0)-5(0),F=7-6']","[110.3813418 110.3813605 110.381372  110.3814005 110.3834661 110.3834999
 110.3834999 110.3835179]",[-4.61748 -4.61983 -4.12818 -4.60523 -4.60757 -4.60522 -4.11592 -4.59296],[25.68741 25.68755 25.68755 25.68755 18.54192 18.54178 18.54192 18.54192],[-3.5264 -3.6013 -3.0371 -3.452  -3.5787 -3.5038 -3.0145 -3.4294]
['CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide' 'Methyl Cyanide'],"['7(6)-6(6),F=7-6' '7(6)-6(6)' '7(6)-6(6),F=8-7' '7(6)-6(6),F=6-5']",[128.6894316 128.6901106 128.6903731 128.6905602],[-4.9735  -4.4874  -4.96456 -4.97495],[281.79006 281.78995 281.78996 281.78997],[-3.956  -3.4699 -3.8927 -4.0196]
