Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CH3OHvt=0-2,Methanol,13(-3)-14(-2)E2vt=0,84.423769,-5.95248,273.8985,-5.0602
CH3OHvt=0-2,Methanol,5(-1)-4(0)E2vt=0,84.521172,-5.70555,40.39102,-4.8657
CH3OHvt=0-2,Methanol,6(-2)-7(-1)E2vt=0,85.568131,-5.94859,74.65662,-5.0911
CH3OHvt=0-2,Methanol,7(2)--6(3)-vt=0,86.615574,-6.16459,102.70245,-5.2908
CH3OHvt=0-2,Methanol,7(2)+-6(3)+vt=0,86.902916,-6.16024,102.71624,-5.2879
CH3OHvt=0-2,Methanol,15(3)+-14(4)+vt=0,88.594787,-5.95979,328.25824,-5.107
CH3OHvt=0-2,Methanol,15(3)--14(4)-vt=0,88.939971,-5.95469,328.27481,-5.1036
CH3OHvt=0-2,Methanol,8(-4)-9(-3)E2vt=0,89.505853,-6.11696,171.45748,-5.3025
CH3OHvt=0-2,Methanol,1(0)-2(1)E1vt=1,93.196672,-5.37734,302.89203,-5.5239
CH3OHvt=0-2,Methanol,8(3)-9(2)E1vt=0,94.541785,-5.88842,131.27983,-5.0394
CH3OHvt=0-2,Methanol,8(0)+-7(1)+vt=0,95.169391,-5.67138,83.53852,-4.7561
CH3OHvt=0-2,Methanol,2(1)+-1(1)+vt=0,95.91431,-5.60314,21.44392,-5.1328
CH3OHvt=0-2,Methanol,2(1)+-1(1)+vt=1,96.396053,-5.59592,332.19647,-5.5776
CH3OHvt=0-2,Methanol,2(1)-1(1)E1vt=1,96.492163,-5.59639,298.41879,-5.5296
CH3OHvt=0-2,Methanol,2(-1)-1(-1)E2vt=1,96.501713,-5.59667,420.32181,-5.7064
CH3OHvt=0-2,Methanol,2(0)+-1(0)+vt=1,96.513686,-5.47055,430.59375,-5.5952
CH3OHvt=0-2,Methanol,2(1)--1(1)-vt=1,96.588596,-5.59334,332.21003,-5.5759
CH3OHvt=0-2,Methanol,2(0)+-1(0)+vt=0,96.741371,-5.4675,6.965,-4.9799
CH3OHvt=0-2,Methanol,2(1)-1(1)E1vt=0,96.755501,-5.58097,28.01055,-5.1239
CH3OHvt=0-2,Methanol,2(1)--1(1)-vt=0,97.582798,-5.58063,21.56428,-5.1179
CH3OHvt=0-2,Methanol,6(1)-5(0)E1vt=1,99.73094,-5.5546,340.09278,-5.1474
CH3OHvt=0-2,Methanol,13(2)-12(3)E1vt=0,100.638872,-5.77287,233.60704,-4.898
CH3OHvt=0-2,Methanol,10(-2)-10(1)E2vt=0,102.122776,-6.7641,153.63092,-5.8889
CH3OHvt=0-2,Methanol,11(-2)-11(1)E2vt=0,102.65816,-6.57626,179.18901,-5.7008
CH3OHvt=0-2,Methanol,12(-2)-12(1)E2vt=0,103.381258,-6.39958,207.07683,-5.5313
CH3OHvt=0-2,Methanol,13(-3)-12(-4)E2vt=0,104.060634,-5.79915,273.89852,-4.997
CH3OHvt=0-2,Methanol,11(-1)-10(-2)E2vt=0,104.300337,-5.70778,158.63588,-4.8094
CH3OHvt=0-2,Methanol,13(-2)-13(1)E2vt=0,104.336667,-6.23219,237.2951,-5.3782
CH3OHvt=0-2,Methanol,10(4)--11(3)-vt=0,104.354831,-5.8061,207.9897,-5.0189
CH3OHvt=0-2,Methanol,10(4)+-11(3)+vt=0,104.410457,-5.80537,207.99093,-5.0184
CH3OHvt=0-2,Methanol,13(1)+-12(2)+vt=0,105.063816,-5.62468,223.84154,-4.7542
CH3OHvt=0-2,Methanol,14(-2)-14(1)E2vt=0,105.576396,-6.07252,269.84631,-5.2397
CH3OHvt=0-2,Methanol,3(1)+-4(0)+vt=0,107.013831,-5.51343,28.34892,-4.6531
CH3OHvt=0-2,Methanol,15(-2)-15(1)E2vt=0,107.159906,-5.91957,304.73188,-5.1147
CH3OHvt=0-2,Methanol,0(0)-1(-1)E2vt=0,108.893945,-4.83244,13.1249,-5.1037
CH3OHvt=0-2,Methanol,14(5)-15(4)E1vt=0,109.138783,-5.75124,379.67591,-5.0917
CH3OHvt=0-2,Methanol,16(-2)-16(1)E2vt=0,109.153184,-5.7724,341.95497,-5.0022
CH3OHvt=0-2,Methanol,7(2)+-8(1)+vt=0,111.289453,-5.58537,102.71545,-4.8196
CH3OHvt=0-2,Methanol,17(-2)-17(1)E2vt=0,111.626514,-5.63084,381.51607,-4.902
CH3OHvt=0-2,Methanol,18(-2)-18(1)E2vt=0,114.6509,-5.49431,423.42004,-4.8135
CH3OHvt=0-2,Methanol,15(6)-16(5)E1vt=0,116.798779,-5.69074,457.15578,-5.1436
CH3OHvt=0-2,Methanol,18(-4)-17(-5)E2vt=0,117.149551,-5.60303,484.55382,-5.02
CH3OHvt=0-2,Methanol,8(1)+-9(2)+vt=1,118.207917,-5.19859,408.51389,-4.8471
CH3OHvt=0-2,Methanol,19(-2)-19(1)E2vt=0,118.293518,-5.36276,467.66722,-4.7366
CH3OHvt=0-2,Methanol,18(-2)-17(-3)E2vt=0,119.271082,-5.51431,423.4202,-4.8505
CH3OHvt=0-2,Methanol,3(1)-2(2)E1vt=0,120.197462,-6.03981,34.97554,-5.5401
CH3OHvt=0-2,Methanol,8(1)--9(2)-vt=1,121.607661,-5.16165,408.67993,-4.8226
CH3OHvt=0-2,Methanol,2(2)-1(1)E1vt=0,121.689902,-4.92562,29.2072,-4.569
CH3OHvt=0-2,Methanol,12(-5)-13(-4)E2vt=0,123.782392,-5.61841,305.00016,-4.9694
CH3OHvt=0-2,Methanol,6(0)-5(1)E1vt=0,124.570036,-5.38168,61.85009,-4.6674
CH3OHvt=0-2,Methanol,12(1)--11(2)-vt=0,129.433338,-5.36486,197.07452,-4.5788
CH3OHvt=0-2,Methanol,17(4)-18(3)E1vt=0,131.134094,-5.38804,450.96357,-4.829
CH3OHvt=0-2,Methanol,6(2)--7(1)-vt=0,132.621824,-5.38374,86.45674,-4.732
CH3OHvt=0-2,Methanol,6(-1)-5(0)E2vt=0,132.890759,-5.11081,54.31173,-4.4134
CH3OHvt=0-2,Methanol,20(0)-20(-1)E2vt=0,133.427704,-5.44013,497.91851,-4.8878
