Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['DCNv=0' 'DCNv=0' 'DCNv=0' 'DCNv=0' 'DCNv=0' 'DCNv=0'],"['Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide'
 'Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide']","['J=2-1,F=2-2' 'J=2-1,F=1-0' 'J=2-1,F=1-2' 'J=2-1,F=1-2' 'J=2-1,F=1-2'
 'J=2-1,F=1-2']",[144.826573  144.826825  144.8279913 144.8279913 144.8279913 144.8279913],[-4.44885 -4.102   -5.40299 -4.22689 -3.97164 -3.84677],[10.42589 10.4259  10.42595 10.42595 10.42595 10.42595],[-2.9315 -2.8065 -4.1075 -2.9314 -2.4543 -2.1833]
['DCNv=0' 'DCNv=0' 'DCNv=0' 'DCNv=0' 'DCNv=0'],"['Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide'
 'Hydrogen Cyanide' 'Hydrogen Cyanide']","['J=3-2,F=2-1' 'J=3-2,F=2-2' 'J=3-2,F=2-2' 'J=3-2,F=2-2' 'J=3-2,F=2-2']",[217.2384    217.2386307 217.2386307 217.2386307 217.2386307],[-3.36419 -4.09659 -4.24272 -3.33962 -3.28856],[20.85163 20.85164 20.85164 20.85164 20.85164],[-2.0355 -2.7679 -2.7679 -1.8648 -1.7046]
['DCNv=0' 'DCNv=0' 'DCNv=0'],['Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide'],"['J=4-3,F=3-2' 'J=4-3,F=4-3' 'J=4-3,F=4-3']",[289.64467   289.6452425 289.6452425],[-2.9349  -2.92594 -2.89789],[34.75231 34.75234 34.75234],[-1.6026 -1.4845 -1.3693]
['DCNv=0'],['Hydrogen Cyanide'],['J=5-4'],[362.0464842],[-2.5975],[52.12784],[-0.7113]
['DCNv=0'],['Hydrogen Cyanide'],['J=6-5'],[434.4410133],[-2.35334],[72.9775],[-0.5014]
['DCNv=0'],['Hydrogen Cyanide'],['J=7-6'],[506.8274873],[-2.1478],[97.30126],[-0.3333]
['DCNv=0'],['Hydrogen Cyanide'],['J=8-7'],[579.2045636],[-1.97019],[125.09861],[-0.197]
['DCNv=0'],['Hydrogen Cyanide'],['J=9-8'],[651.5708998],[-1.81395],[156.36878],[-0.0863]
['DCNv=0'],['Hydrogen Cyanide'],['J=10-9'],[723.9251532],[-1.67445],[191.11156],[0.0032]
['DCNv=0'],['Hydrogen Cyanide'],['J=11-10'],[796.2659815],[-1.54854],[229.32602],[0.0745]
['DCNv=0'],['Hydrogen Cyanide'],['J=12-11'],[868.592042],[-1.43361],[271.01166],[0.1301]
['DCNv=0'],['Hydrogen Cyanide'],['J=13-12'],[940.9019923],[-1.32811],[316.16756],[0.1715]
