Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['DNC'],['Hydrogen Isocyanide'],['2-1'],[152.609774],[-3.81268],[10.98617],[-1.766]
['DNC'],['Hydrogen Isocyanide'],['3-2'],[228.910489],[-3.25449],[21.97206],[-1.251]
['DNC'],['Hydrogen Isocyanide'],['4-3'],[305.206219],[-2.86387],[36.61952],[-0.8947]
['DNC'],['Hydrogen Isocyanide'],['5-4'],[381.4952739],[-2.5634],[54.92832],[-0.6278]
['DNC'],['Hydrogen Isocyanide'],['6-5'],[457.7759996],[-2.31926],[76.89796],[-0.4194]
['DNC'],['Hydrogen Isocyanide'],['7-6'],[534.0467275],[-2.11376],[102.52807],[-0.2531]
['DNC'],['Hydrogen Isocyanide'],['8-7'],[610.3057915],[-1.93614],[131.81798],[-0.1188]
['DNC'],['Hydrogen Isocyanide'],['9-8'],[686.5515252],[-1.77991],[164.76706],[-0.0104]
['DNC'],['Hydrogen Isocyanide'],['10-9'],[762.7822624],[-1.64045],[201.37463],[0.0765]
['DNC'],['Hydrogen Isocyanide'],['11-10'],[838.9963368],[-1.51452],[241.63991],[0.145]
['DNC'],['Hydrogen Isocyanide'],['12-11'],[915.192082],[-1.3997],[285.56194],[0.1974]
