Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['H13CO+'],['Formylium'],['1-0'],[86.7542884],[-4.41685],[4.16353],[-2.2835]
['H13CO+'],['Formylium'],['2-1'],[173.506782],[-3.43465],[12.49047],[-1.3895]
['H13CO+'],['Formylium'],['3-2'],[260.255339],[-2.87634],[24.98074],[-0.8762]
['H13CO+'],['Formylium'],['4-3'],[346.998336],[-2.48579],[41.63396],[-0.5225]
['H13CO+'],['Formylium'],['5-4'],[433.7337662],[-2.18535],[62.44976],[-0.2589]
['H13CO+'],['Formylium'],['6-5'],[520.4598843],[-1.94123],[87.42775],[-0.0545]
['H13CO+'],['Formylium'],['7-6'],[607.1746435],[-1.73563],[116.56726],[0.1072]
['H13CO+'],['Formylium'],['8-7'],[693.8762419],[-1.55807],[149.86793],[0.236]
['H13CO+'],['Formylium'],['9-8'],[780.562812],[-1.40189],[187.32879],[0.3382]
['H13CO+'],['Formylium'],['10-9'],[867.2324263],[-1.26245],[228.94919],[0.4182]
