Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
H2S,Hydrogen sulfide,"1(1,0)-1(0,1)",168.7627624,-4.5723,27.87738,-2.8337
H2S,Hydrogen sulfide,"4(1,4)-3(2,1)",204.14017,-7.51124,164.27714,-5.5744
H2S,Hydrogen sulfide,"2(2,0)-2(1,1)",216.7104365,-4.31228,83.98035,-3.0171
H2S,Hydrogen sulfide,"3(3,0)-3(2,1)",300.50556,-3.98895,168.90198,-2.3325
H2S,Hydrogen sulfide,"6(1,5)-5(4,2)",314.43779,-6.96077,405.15433,-5.8738
H2S,Hydrogen sulfide,"3(2,1)-3(1,2)",369.10145,-3.71704,154.47989,-2.1266
H2S,Hydrogen sulfide,"4(3,1)-4(2,2)",369.126912,-3.65383,262.79223,-2.5882
H2S,Hydrogen sulfide,"3(1,3)-2(2,0)",392.61784,-6.0482,102.82318,-4.8861
H2S,Hydrogen sulfide,"2(1,1)-2(0,2)",393.45049,-3.79381,73.57981,-2.7364
H2S,Hydrogen sulfide,"5(4,1)-5(3,2)",407.67673,-3.52509,399.02944,-2.1342
H2S,Hydrogen sulfide,"4(4,0)-4(3,1)",424.31482,-3.66228,283.15619,-2.6847
H2S,Hydrogen sulfide,"5(1,4)-4(4,1)",436.37336,-6.49896,302.4577,-4.9968
H2S,Hydrogen sulfide,"1(1,1)-0(0,0)",452.39033,-3.4637,21.71145,-2.6116
H2S,Hydrogen sulfide,"5(2,3)-6(1,6)",461.6324196,-7.04802,350.11915,-5.6384
H2S,Hydrogen sulfide,"2(2,1)-2(1,2)",505.56523,-3.61991,79.36581,-2.1987
H2S,Hydrogen sulfide,"6(2,5)-5(3,2)",535.528818,-6.09399,405.16541,-4.7534
H2S,Hydrogen sulfide,"3(3,1)-3(2,2)",568.050557,-3.41297,165.95051,-2.4965
H2S,Hydrogen sulfide,"5(5,0)-5(4,1)",579.799042,-3.36901,426.85569,-2.1653
H2S,Hydrogen sulfide,"5(3,2)-5(2,3)",611.441629,-3.13285,379.46391,-1.8825
H2S,Hydrogen sulfide,"4(4,1)-4(3,2)",650.374186,-3.25367,281.51501,-1.9741
H2S,Hydrogen sulfide,"4(2,2)-4(1,3)",665.393738,-3.12911,245.07674,-2.2833
H2S,Hydrogen sulfide,"2(0,2)-1(1,1)",687.303468,-3.03035,54.69701,-2.1775
H2S,Hydrogen sulfide,"3(1,2)-3(0,3)",708.4707404,-3.22666,136.76576,-1.8818
H2S,Hydrogen sulfide,"2(1,2)-1(0,1)",736.034096,-2.87526,55.10228,-1.5739
H2S,Hydrogen sulfide,"3(2,2)-3(1,3)",747.30189,-3.17386,138.68822,-2.3307
H2S,Hydrogen sulfide,"5(5,1)-5(4,2)",749.43228,-3.10772,426.03091,-2.4854
H2S,Hydrogen sulfide,"4(3,2)-4(2,3)",765.93791,-2.99631,250.30182,-1.7385
H2S,Hydrogen sulfide,"6(2,4)-7(1,7)",777.90797,-6.55167,467.4873,-5.932
H2S,Hydrogen sulfide,"6(3,4)-7(0,7)",784.758248,-6.54245,467.81607,-5.4497
H2S,Hydrogen sulfide,"5(4,2)-5(3,3)",800.85207,-2.88989,390.06367,-2.2425
H2S,Hydrogen sulfide,"5(2,4)-4(3,1)",827.915046,-5.05165,302.52608,-4.291
H2S,Hydrogen sulfide,"6(2,4)-5(5,1)",863.805837,-5.43723,467.48737,-4.86
H2S,Hydrogen sulfide,"4(2,3)-3(3,0)",930.145832,-4.4075,213.54225,-3.175
