Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
HCO+v=0,Formylium,1-0,89.188523,-4.38103,4.28035,-2.2637
HCO+v=0,Formylium,2-1,178.37501,-3.39877,12.84094,-1.3699
HCO+v=0,Formylium,3-2,267.557526,-2.84054,25.68167,-0.8571
HCO+v=0,Formylium,4-3,356.734134,-2.44989,42.80203,-0.5039
HCO+v=0,Formylium,5-4,445.902721,-2.1495,64.20191,-0.2411
HCO+v=0,Formylium,6-5,535.061402,-1.90535,89.88064,-0.0376
HCO+v=0,Formylium,7-6,624.20818,-1.69975,119.83769,0.123
HCO+v=0,Formylium,8-7,713.34209,-1.52223,154.0726,0.2505
HCO+v=0,Formylium,9-8,802.458217,-1.36602,192.58426,0.3513
HCO+v=0,Formylium,10-9,891.5573993,-1.22658,235.37198,0.4297
