Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['N2D+'],['Diazenylium'],['J=2-1'],[154.217096],[-3.22738],[11.10187],[-1.6579]
['N2D+'],['Diazenylium'],['J=3-2'],[231.321665],[-2.66924],[22.20345],[-1.1431]
['N2D+'],['Diazenylium'],['J=4-3'],[308.422222],[-2.27873],[37.00536],[-0.7871]
['N2D+'],['Diazenylium'],['J=5-4'],[385.516762],[-1.9784],[55.50705],[-0.5206]
['N2D+'],['Diazenylium'],['J=6-5'],[462.603932],[-1.73445],[77.70848],[-0.3127]
['N2D+'],['Diazenylium'],['J=7-6'],[539.682481],[-1.52899],[103.609],[-0.1468]
['N2D+'],['Diazenylium'],['J=8-7'],[616.7507155],[-1.35164],[133.20824],[-0.0132]
['N2D+'],['Diazenylium'],['J=9-8'],[693.8072448],[-1.19564],[166.50541],[0.0945]
['N2D+'],['Diazenylium'],['J=10-9'],[770.8506058],[-1.05635],[203.50031],[0.1807]
['N2D+'],['Diazenylium'],['J=11-10'],[847.8793354],[-0.93062],[244.19186],[0.2484]
['N2D+'],['Diazenylium'],['J=12-11'],[924.8919705],[-0.81605],[288.57941],[0.2999]
