Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
t-HCOOH,Formic Acid,"4(1,4)-3(1,3)",86.5461854,-5.21281,13.56798,-4.4036
t-HCOOH,Formic Acid,"4(0,4)-3(0,3)",89.579172,-5.14012,10.76233,-4.3417
t-HCOOH,Formic Acid,"4(2,3)-3(2,2)",89.8614832,-5.26072,23.5051,-4.4821
t-HCOOH,Formic Acid,"4(3,1)-3(3,0)",89.9503318,-5.49347,39.40905,-4.7383
t-HCOOH,Formic Acid,"4(2,2)-3(2,1)",90.164628,-5.25633,23.52699,-4.4792
t-HCOOH,Formic Acid,"4(1,3)-3(1,2)",93.0983554,-5.11771,14.35435,-4.3411
t-HCOOH,Formic Acid,"5(1,5)-4(1,4)",108.1267,-4.90272,18.75725,-4.1098
t-HCOOH,Formic Acid,"5(0,5)-4(0,4)",111.74679,-4.84235,16.12539,-4.0598
t-HCOOH,Formic Acid,"5(2,4)-4(2,3)",112.28712,-4.91149,28.89406,-4.1495
t-HCOOH,Formic Acid,"5(4,1)-4(4,0)",112.4323472,-5.27769,67.05373,-4.5715
t-HCOOH,Formic Acid,"5(3,3)-4(3,2)",112.4596,-5.02749,44.80606,-4.2892
t-HCOOH,Formic Acid,"5(3,2)-4(3,1)",112.467,-5.02747,44.80656,-4.2892
t-HCOOH,Formic Acid,"5(2,3)-4(2,2)",112.89141,-4.90451,28.94494,-4.1449
t-HCOOH,Formic Acid,"5(1,4)-4(1,3)",116.31148,-4.80761,19.93635,-4.0478
t-HCOOH,Formic Acid,"6(1,6)-5(1,5)",129.67175,-4.6539,24.98045,-3.8756
t-HCOOH,Formic Acid,"6(0,6)-5(0,5)",133.76707,-4.60156,22.5452,-3.8331
t-HCOOH,Formic Acid,"6(2,5)-5(2,4)",134.68637,-4.64327,35.35796,-3.8963
t-HCOOH,Formic Acid,"6(5,2)-5(5,1)",134.9203037,-5.10477,102.12374,-4.4552
t-HCOOH,Formic Acid,"6(4,3)-5(4,2)",134.93854,-4.84491,73.5298,-4.154
t-HCOOH,Formic Acid,"6(3,4)-5(3,3)",134.98563,-4.71416,51.28439,-3.9912
t-HCOOH,Formic Acid,"6(3,3)-5(3,2)",135.00487,-4.7139,51.28574,-3.991
t-HCOOH,Formic Acid,"6(2,4)-5(2,3)",135.7377,-4.63318,35.45921,-3.8897
t-HCOOH,Formic Acid,"6(1,5)-5(1,4)",139.48172,-4.55888,26.63033,-3.8143
t-HCOOH,Formic Acid,"7(1,7)-6(1,6)",151.1762809,-4.44585,32.23575,-3.6818
t-HCOOH,Formic Acid,"7(0,7)-6(0,6)",155.6178821,-4.39985,30.01351,-3.645
t-HCOOH,Formic Acid,"7(2,6)-6(2,5)",157.0539807,-4.42416,42.89524,-3.6919
t-HCOOH,Formic Acid,"7(6,1)-6(6,0)",157.4129279,-4.96044,144.61039,-4.3764
t-HCOOH,Formic Acid,"7(5,2)-6(5,1)",157.4226291,-4.69408,109.67885,-4.0595
t-HCOOH,Formic Acid,"7(4,3)-6(4,2)",157.4555717,-4.55548,81.08649,-3.8796
t-HCOOH,Formic Acid,"7(3,5)-6(3,4)",157.5265212,-4.47138,58.84437,-3.7635
t-HCOOH,Formic Acid,"7(3,4)-6(3,3)",157.5707137,-4.47096,58.84793,-3.7632
t-HCOOH,Formic Acid,"7(2,5)-6(2,4)",158.7205615,-4.41037,43.07652,-3.6829
t-HCOOH,Formic Acid,"7(1,6)-6(1,5)",162.5984803,-4.35104,34.43376,-3.6214
t-HCOOH,Formic Acid,"13(2,11)-13(1,12)",166.33691,-5.84393,112.31374,-4.9815
t-HCOOH,Formic Acid,"14(2,12)-14(1,13)",167.6130221,-5.82644,127.818,-4.9587
t-HCOOH,Formic Acid,"15(2,13)-15(1,14)",170.3794988,-5.8015,144.45777,-4.9359
t-HCOOH,Formic Acid,"8(1,8)-7(1,7)",172.6357787,-4.26722,40.52092,-3.5177
t-HCOOH,Formic Acid,"16(2,14)-16(1,15)",174.7697895,-5.76883,162.23022,-4.9127
t-HCOOH,Formic Acid,"8(0,8)-7(0,7)",177.2828548,-4.22654,38.52176,-3.4855
t-HCOOH,Formic Acid,"8(2,7)-7(2,6)",179.3847525,-4.2384,51.50437,-3.5212
t-HCOOH,Formic Acid,"8(6,2)-7(6,1)",179.9130985,-4.56546,153.24491,-3.9968
t-HCOOH,Formic Acid,"8(5,3)-7(5,2)",179.9321495,-4.42138,118.31411,-3.8022
t-HCOOH,Formic Acid,"8(4,4)-7(4,3)",179.9853363,-4.33084,89.7243,-3.6704
t-HCOOH,Formic Acid,"8(3,6)-7(3,5)",180.083103,-4.271,67.48692,-3.5786
t-HCOOH,Formic Acid,"8(3,5)-7(3,4)",180.1712695,-4.27038,67.49475,-3.5782
t-HCOOH,Formic Acid,"17(2,15)-17(1,16)",180.9004036,-5.72816,181.13074,-4.8886
t-HCOOH,Formic Acid,"8(2,6)-7(2,5)",181.8501403,-4.22062,51.80397,-3.5097
t-HCOOH,Formic Acid,"8(1,7)-7(1,6)",185.6501856,-4.17262,43.34352,-3.4583
t-HCOOH,Formic Acid,"18(2,16)-18(1,17)",188.8704858,-5.67966,201.15402,-4.8634
t-HCOOH,Formic Acid,"9(1,9)-8(1,8)",194.0470622,-4.11061,49.83364,-3.3763
t-HCOOH,Formic Acid,"9(0,9)-8(0,8)",198.75521,-4.07493,48.06043,-3.3483
t-HCOOH,Formic Acid,"9(2,8)-8(2,7)",201.67372,-4.07701,61.18308,-3.3756
t-HCOOH,Formic Acid,"9(6,4)-8(6,3)",202.4183,-4.3053,162.95932,-3.7528
t-HCOOH,Formic Acid,"9(5,4)-8(5,3)",202.4498914,-4.21009,128.03013,-3.6071
t-HCOOH,Formic Acid,"9(4,5)-8(4,4)",202.53,-4.14491,99.4442,-3.5007
t-HCOOH,Formic Acid,"9(3,7)-8(3,6)",202.65446,-4.09963,77.21285,-3.4235
t-HCOOH,Formic Acid,"9(3,6)-8(3,5)",202.81516,-4.09867,77.22833,-3.4229
t-HCOOH,Formic Acid,"9(2,7)-8(2,6)",205.12782,-4.05478,61.64854,-3.3613
t-HCOOH,Formic Acid,"9(1,8)-8(1,7)",208.6239869,-4.01637,53.35594,-3.3181
t-HCOOH,Formic Acid,"11(0,11)-10(1,10)",208.8287468,-5.65465,70.19361,-4.8982
t-HCOOH,Formic Acid,"20(2,18)-20(1,19)",210.6179456,-5.56156,244.54213,-4.8101
t-HCOOH,Formic Acid,"10(1,10)-9(1,9)",215.4079449,-3.9713,60.17151,-3.2531
t-HCOOH,Formic Acid,"8(1,8)-7(0,7)",218.938567,-5.60934,40.52091,-4.9614
t-HCOOH,Formic Acid,"10(0,10)-9(0,9)",220.0380722,-3.94038,58.62059,-3.229
t-HCOOH,Formic Acid,"10(2,9)-9(2,8)",223.9156659,-3.93416,71.92926,-3.2495
t-HCOOH,Formic Acid,"16(1,15)-16(0,16)",224.833792,-5.70793,153.84257,-4.9473
t-HCOOH,Formic Acid,"10(7,4)-9(7,3)",224.9119245,-4.20283,215.01168,-3.7272
t-HCOOH,Formic Acid,"10(6,5)-9(6,4)",224.9291546,-4.10413,173.75423,-3.5688
t-HCOOH,Formic Acid,"10(5,5)-9(5,4)",224.9768851,-4.035,138.82725,-3.4492
t-HCOOH,Formic Acid,"10(4,6)-9(4,5)",225.0912891,-3.98515,110.24671,-3.3582
t-HCOOH,Formic Acid,"10(3,8)-9(3,7)",225.2378374,-3.94955,88.02246,-3.2907
t-HCOOH,Formic Acid,"10(3,7)-9(3,6)",225.5126344,-3.94799,88.05119,-3.2897
t-HCOOH,Formic Acid,"10(2,8)-9(2,7)",228.5441675,-3.90734,72.61683,-3.2324
t-HCOOH,Formic Acid,"10(1,9)-9(1,8)",231.5057047,-3.87755,64.46633,-3.1963
t-HCOOH,Formic Acid,"12(0,12)-11(1,11)",234.2150514,-5.48531,82.77261,-4.7598
t-HCOOH,Formic Acid,"9(1,9)-8(0,8)",235.7027744,-5.50121,49.83362,-4.8499
t-HCOOH,Formic Acid,"11(1,11)-10(1,10)",236.7173258,-3.84584,71.53204,-3.1448
t-HCOOH,Formic Acid,"11(0,11)-10(0,10)",241.1463283,-3.81929,70.1936,-3.1242
t-HCOOH,Formic Acid,"10(2,9)-10(1,10)",244.9936986,-5.61322,71.92924,-4.9669
t-HCOOH,Formic Acid,"11(2,10)-10(2,9)",246.106087,-3.80611,83.74053,-3.1393
t-HCOOH,Formic Acid,"17(1,16)-17(0,17)",246.8570373,-5.61233,172.44889,-4.8929
t-HCOOH,Formic Acid,"11(7,4)-10(7,3)",247.4182719,-4.00972,226.88588,-3.5524
t-HCOOH,Formic Acid,"11(6,6)-10(6,5)",247.4462828,-3.93749,185.62967,-3.4205
t-HCOOH,Formic Acid,"11(5,6)-10(5,5)",247.5141695,-3.88433,150.70596,-3.3169
t-HCOOH,Formic Acid,"11(4,8)-10(4,7)",247.6605214,-3.84465,122.13199,-3.2361
t-HCOOH,Formic Acid,"11(4,7)-10(4,6)",247.6720358,-3.84453,122.13311,-3.236
t-HCOOH,Formic Acid,"11(3,9)-10(3,8)",247.8309103,-3.81572,99.91637,-3.1753
t-HCOOH,Formic Acid,"11(3,8)-10(3,7)",248.2745794,-3.81338,99.96629,-3.1738
t-HCOOH,Formic Acid,"11(2,9)-10(2,8)",252.0786058,-3.77459,84.71461,-3.1194
t-HCOOH,Formic Acid,"10(1,10)-9(0,9)",252.3556537,-5.39924,60.17158,-4.7485
t-HCOOH,Formic Acid,"11(1,10)-10(1,9)",254.279788,-3.75274,76.66977,-3.0896
t-HCOOH,Formic Acid,"11(2,10)-11(1,11)",254.3824598,-5.57603,83.74049,-4.9233
t-HCOOH,Formic Acid,"16(1,15)-15(2,14)",255.5552246,-5.65788,153.84265,-4.9518
t-HCOOH,Formic Acid,"12(1,12)-11(1,11)",257.9751535,-3.73163,83.91291,-3.0489
t-HCOOH,Formic Acid,"13(0,13)-12(1,12)",259.1798022,-5.33566,96.35147,-4.6395
t-HCOOH,Formic Acid,"12(0,12)-11(0,11)",262.1036304,-3.70923,82.77256,-3.0316
t-HCOOH,Formic Acid,"20(3,17)-20(2,18)",263.0581328,-5.29156,257.16691,-4.6531
t-HCOOH,Formic Acid,"12(2,11)-12(1,12)",264.6476622,-5.53728,96.61389,-4.8838
t-HCOOH,Formic Acid,"12(2,11)-11(2,10)",268.2403559,-3.68995,96.61394,-3.0422
t-HCOOH,Formic Acid,"19(3,16)-19(2,17)",268.6593878,-5.28091,235.18719,-4.6413
