Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['13CSv=0'],['Carbon Monosulfide'],['2-1'],[92.494308],[-4.84738],[6.65859],[-2.7959]
['13CSv=0'],['Carbon Monosulfide'],['3-2'],[138.739335],[-4.2892],[13.31688],[-2.2757]
['13CSv=0'],['Carbon Monosulfide'],['4-3'],[184.981772],[-3.89867],[22.19463],[-1.9122]
['13CSv=0'],['Carbon Monosulfide'],['5-4'],[231.220996],[-3.59828],[33.29138],[-1.636]
['13CSv=0'],['Carbon Monosulfide'],['6-5'],[277.455481],[-3.3542],[46.60707],[-1.4162]
['13CSv=0'],['Carbon Monosulfide'],['7-6'],[323.684828],[-3.14865],[62.14137],[-1.2363]
['13CSv=0'],['Carbon Monosulfide'],['8-7'],[369.9078439],[-2.97116],[79.8941],[-1.0865]
['13CSv=0'],['Carbon Monosulfide'],['9-8'],[416.1234864],[-2.81505],[99.86477],[-0.9605]
['13CSv=0'],['Carbon Monosulfide'],['10-9'],[462.3306438],[-2.67569],[122.05303],[-0.8539]
['13CSv=0'],['Carbon Monosulfide'],['11-10'],[508.5281375],[-2.54983],[146.45841],[-0.7636]
['13CSv=0'],['Carbon Monosulfide'],['12-11'],[554.7147143],[-2.43507],[173.08026],[-0.6873]
['13CSv=0'],['Carbon Monosulfide'],['13-12'],[600.8890392],[-2.32965],[201.91823],[-0.6233]
['13CSv=0'],['Carbon Monosulfide'],['14-13'],[647.0496875],[-2.23222],[232.97154],[-0.5703]
['13CSv=0'],['Carbon Monosulfide'],['15-14'],[693.1951382],[-2.14164],[266.23954],[-0.5272]
['13CSv=0'],['Carbon Monosulfide'],['16-15'],[739.3237654],[-2.05698],[301.72128],[-0.4931]
['13CSv=0'],['Carbon Monosulfide'],['17-16'],[785.4338319],[-1.97752],[339.41596],[-0.4673]
['13CSv=0'],['Carbon Monosulfide'],['18-17'],[831.5234813],[-1.90266],[379.32249],[-0.4492]
['13CSv=0'],['Carbon Monosulfide'],['19-18'],[877.5907302],[-1.83197],[421.43991],[-0.4384]
['13CSv=0'],['Carbon Monosulfide'],['20-19'],[923.6334616],[-1.76495],[465.76711],[-0.4344]
