Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH2CN'],['Cyanomethyl'],"['21(1,20)-21(1,21),J=43/2-43/2']",[85.1781179],[-6.71874],[238.23295],[-5.9058]
['CH2CN'],['Cyanomethyl'],"['21(1,20)-21(1,21),J=41/2-41/2']",[85.4153041],[-6.71651],[238.2534],[-5.925]
['CH2CN'],['Cyanomethyl'],"['22(1,21)-22(1,22),J=45/2-45/2']",[93.2817515],[-6.63975],[259.65651],[-5.8777]
['CH2CN'],['Cyanomethyl'],"['22(1,21)-22(1,22),J=43/2-43/2']",[93.5299159],[-6.63757],[259.67778],[-5.896]
['CH2CN' 'CH2CN' 'CH2CN' 'CH2CN'],['Cyanomethyl' 'Cyanomethyl' 'Cyanomethyl' 'Cyanomethyl'],"['5(1,5)-4(1,4),J+F=5-4,S=13-13' '5(1,5)-4(1,4),J+F=4-3,S=19-19'
 '5(1,5)-4(1,4),J+F=6-5,S=6-6' '5(1,5)-4(1,4),J=9/2-7/2']",[99.668632  99.6688846 99.669243  99.6694292],[-4.24213 -4.24802 -4.22011 -4.22005],[27.55864 27.55923 27.55781 27.55633],[-4.3125 -4.4153 -4.2113 -3.8133]
['CH2CN'],['Cyanomethyl'],"['5(1,5)-4(1,4),J+F=6-6,S=5-1']",[99.6750762],[-5.6933],[27.5506],[-5.6845]
['CH2CN'],['Cyanomethyl'],"['5(1,5)-4(1,4),J+F=5-5,S=12-5']",[99.6798726],[-5.61479],[27.55011],[-5.6852]
['CH2CN' 'CH2CN'],['Cyanomethyl' 'Cyanomethyl'],"['5(1,5)-4(1,4),J+F=4-4,S=19-13' '5(1,5)-4(1,4),J+F=5-5,S=13-6']",[99.6835003 99.6840993],[-5.42685 -5.52436],[27.55935 27.55852],[-5.5942 -5.5948]
['CH2CN' 'CH2CN' 'CH2CN' 'CH2CN'],['Cyanomethyl' 'Cyanomethyl' 'Cyanomethyl' 'Cyanomethyl'],"['5(1,5)-4(1,4),J+F=5-4,S=12-12' '5(1,5)-4(1,4),J=11/2-9/2'
 '5(1,5)-4(1,4),J+F=6-5,S=5-5' '5(1,5)-4(1,4),J+F=7-6,S=1-1']",[99.689121  99.6892944 99.689833  99.689833 ],[-4.22785 -4.21025 -4.22473 -4.21028],[27.55013 27.5485  27.55059 27.55131],[-4.2983 -3.7244 -4.216  -4.1346]
['CH2CN'],['Cyanomethyl'],"['5(1,5)-4(1,4),J+F=6-6,S=6-1']",[99.827447],[-5.87373],[27.55792],[-5.8656]
