Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CH3OCH3,Dimethyl ether,"18(4,14)-17(5,13)EE",84.52964,-5.90203,178.59566,-5.5149
CH3OCH3,Dimethyl ether,"3(2,1)-3(1,2)EE",84.6344,-5.36058,11.09132,-5.4546
CH3OCH3,Dimethyl ether,"13(2,12)-12(3,9)AA",85.973216,-5.91427,88.00151,-5.9661
CH3OCH3,Dimethyl ether,"13(2,12)-12(3,9)EE",85.976096,-5.91423,88.00164,-5.5401
CH3OCH3,Dimethyl ether,"2(2,0)-2(1,1)EE",86.22673,-5.45667,8.35725,-5.7009
CH3OCH3,Dimethyl ether,"15(2,13)-15(1,14)EE",88.707644,-5.08726,116.85847,-4.7084
CH3OCH3,Dimethyl ether,"2(2,1)-2(1,2)EE",89.69981,-5.43065,8.35545,-5.6919
CH3OCH3,Dimethyl ether,"2(2,1)-2(1,2)AA",89.70281,-5.42501,8.35517,-5.8904
CH3OCH3,Dimethyl ether,"15(3,12)-14(4,11)AA",90.8892,-5.79185,122.53595,-5.6358
CH3OCH3,Dimethyl ether,"15(3,12)-14(4,11)EE",90.89226,-5.79185,122.53596,-5.4317
CH3OCH3,Dimethyl ether,"15(3,12)-14(4,11)AE",90.89532,-5.79177,122.5361,-5.8576
CH3OCH3,Dimethyl ether,"6(0,6)-5(1,5)EE",90.938099,-5.24093,18.97602,-5.1085
CH3OCH3,Dimethyl ether,"3(2,2)-3(1,3)EE",91.47653,-5.30927,11.08288,-5.4368
CH3OCH3,Dimethyl ether,"12(1,11)-12(0,12)EE",93.6664345,-5.24511,74.01469,-4.9211
CH3OCH3,Dimethyl ether,"4(2,3)-4(1,4)EE",93.85711,-5.25068,14.71794,-5.2854
CH3OCH3,Dimethyl ether,"11(6,5)-12(5,7)EE",94.1482262,-6.01331,110.67706,-5.7808
CH3OCH3,Dimethyl ether,"11(6,6)-12(5,8)EE",94.1516576,-6.0133,110.67694,-5.7808
CH3OCH3,Dimethyl ether,"14(7,7)-15(6,9)EE",95.5526446,-5.96047,164.43844,-5.7115
CH3OCH3,Dimethyl ether,"16(2,14)-16(1,15)EE",95.731257,-5.01024,131.79474,-4.6587
CH3OCH3,Dimethyl ether,"5(2,4)-5(1,5)EE",96.84985,-5.20453,19.25974,-5.1722
CH3OCH3,Dimethyl ether,"17(8,9)-18(7,11)EE",96.9295422,-5.92774,229.19343,-5.697
CH3OCH3,Dimethyl ether,"28(7,22)-27(8,19)AA",97.2440686,-5.73135,438.83122,-5.7978
CH3OCH3,Dimethyl ether,"28(7,21)-27(8,20)EE",97.2958693,-5.88903,438.83342,-5.7516
CH3OCH3,Dimethyl ether,"16(3,14)-15(4,11)EE",97.993397,-5.69881,136.60448,-5.3643
CH3OCH3,Dimethyl ether,"20(9,11)-21(8,13)EE",98.2771152,-5.86755,304.93633,-5.6837
CH3OCH3,Dimethyl ether,"25(6,20)-24(7,17)EE",98.9360458,-5.70496,346.86576,-5.4899
CH3OCH3,Dimethyl ether,"25(6,19)-24(7,18)EE",99.1839161,-5.70167,346.87737,-5.4877
CH3OCH3,Dimethyl ether,"4(1,4)-3(0,3)EE",99.32525,-5.0577,10.21358,-5.1103
