Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether'],"['18(4,14)-17(5,13)AA' '18(4,14)-17(5,13)EE']",[84.52706 84.52964],[-5.90168 -5.90203],[178.59568 178.59566],[-5.9405 -5.5149]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['3(2,1)-3(1,2)AE' '3(2,1)-3(1,2)EE' '3(2,1)-3(1,2)AA']",[84.63202 84.6344  84.6368 ],[-5.36043 -5.36058 -5.36035],[11.0915  11.09132 11.09101],[-5.8804 -5.4546 -5.6585]
['CH3OCH3'],['Dimethyl ether'],"['13(2,12)-12(3,9)AA']",[85.973216],[-5.91427],[88.00151],[-5.9661]
['CH3OCH3'],['Dimethyl ether'],"['13(2,12)-12(3,9)EE']",[85.976096],[-5.91423],[88.00164],[-5.5401]
['CH3OCH3'],['Dimethyl ether'],"['2(2,0)-2(1,1)EE']",[86.22673],[-5.45667],[8.35725],[-5.7009]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['15(2,13)-15(1,14)EA' '15(2,13)-15(1,14)EA' '15(2,13)-15(1,14)EE'
 '15(2,13)-15(1,14)AA']",[88.706216 88.706216 88.707644 88.709072],[-5.08721 -5.0873  -5.08726 -5.08723],[116.85869 116.85869 116.85847 116.85825],[-5.3104 -5.1344 -4.7084 -4.9125]
['CH3OCH3'],['Dimethyl ether'],"['2(2,1)-2(1,2)EE']",[89.69981],[-5.43065],[8.35545],[-5.6919]
['CH3OCH3'],['Dimethyl ether'],"['2(2,1)-2(1,2)AA']",[89.70281],[-5.42501],[8.35517],[-5.8904]
['CH3OCH3'],['Dimethyl ether'],"['15(3,12)-14(4,11)AA']",[90.8892],[-5.79185],[122.53595],[-5.6358]
['CH3OCH3'],['Dimethyl ether'],"['15(3,12)-14(4,11)EE']",[90.89226],[-5.79185],[122.53596],[-5.4317]
['CH3OCH3'],['Dimethyl ether'],"['15(3,12)-14(4,11)AE']",[90.89532],[-5.79177],[122.5361],[-5.8576]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['6(0,6)-5(1,5)AA' '6(0,6)-5(1,5)EE' '6(0,6)-5(1,5)AE']",[90.937539 90.938099 90.938674],[-5.24097 -5.24093 -5.24097],[18.97556 18.97602 18.97648],[-5.5345 -5.1085 -5.7106]
['CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether'],"['3(2,2)-3(1,3)EE' '3(2,2)-3(1,3)AA']",[91.47653 91.47931],[-5.30927 -5.30899],[11.08288 11.08258],[-5.4368 -5.8625]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['12(1,11)-12(0,12)AE' '12(1,11)-12(0,12)AE' '12(1,11)-12(0,12)EE'
 '12(1,11)-12(0,12)AA']",[93.66471   93.66471   93.6664345 93.66835  ],[-5.24513 -5.24506 -5.24511 -5.24503],[74.01503 74.01503 74.01469 74.01435],[-5.8242 -5.5231 -4.9211 -5.347 ]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['4(2,3)-4(1,4)EA' '4(2,3)-4(1,4)EA' '4(2,3)-4(1,4)EE' '4(2,3)-4(1,4)AA']",[93.85444 93.85444 93.85711 93.85964],[-5.25083 -5.25072 -5.25068 -5.25065],[14.71824 14.71824 14.71794 14.71777],[-5.8876 -5.7114 -5.2854 -5.4895]
['CH3OCH3'],['Dimethyl ether'],"['11(6,5)-12(5,7)EE']",[94.1482262],[-6.01331],[110.67706],[-5.7808]
