Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
CSv=0,Carbon Monosulfide,2-1,97.98095,-4.77228,7.05355,-2.7212
CSv=0,Carbon Monosulfide,3-2,146.969033,-4.21412,14.10692,-2.2015
CSv=0,Carbon Monosulfide,4-3,195.954226,-3.82353,23.5111,-1.8386
CSv=0,Carbon Monosulfide,5-4,244.9356435,-3.52317,35.26605,-1.5633
CSv=0,Carbon Monosulfide,6-5,293.912244,-3.27905,49.37157,-1.3445
CSv=0,Carbon Monosulfide,7-6,342.883,-3.07357,65.82733,-1.1659
CSv=0,Carbon Monosulfide,8-7,391.84703,-2.89615,84.63285,-1.0176
CSv=0,Carbon Monosulfide,9-8,440.803392,-2.74002,105.78794,-0.8932
CSv=0,Carbon Monosulfide,10-9,489.75104,-2.60065,129.29226,-0.7884
CSv=0,Carbon Monosulfide,11-10,538.68883,-2.47479,155.14505,-0.7001
CSv=0,Carbon Monosulfide,12-11,587.6162402,-2.36005,183.34599,-0.626
CSv=0,Carbon Monosulfide,13-12,636.5318412,-2.25465,213.89457,-0.5644
CSv=0,Carbon Monosulfide,14-13,685.4347644,-2.15725,246.79004,-0.514
CSv=0,Carbon Monosulfide,15-14,734.3239973,-2.0666,282.03177,-0.4736
CSv=0,Carbon Monosulfide,16-15,783.198519,-1.98199,319.61928,-0.4425
CSv=0,Carbon Monosulfide,17-16,832.0572996,-1.90249,359.55137,-0.4198
CSv=0,Carbon Monosulfide,18-17,880.8992998,-1.82768,401.82771,-0.4051
CSv=0,Carbon Monosulfide,19-18,929.7234703,-1.75686,446.44709,-0.3977
