Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
DCO+v=0,Formylium,"J=2-1,F=3-2",144.0772803,-4.16988,10.37194,-1.9764
DCO+v=0,Formylium,"J=3-2,F=4-3",216.1125766,-3.61164,20.74365,-1.4976
DCO+v=0,Formylium,"J=4-3,F=5-4",288.143855,-3.22106,34.57224,-1.1623
DCO+v=0,Formylium,"J=5-4,F=6-5",360.1697771,-2.92061,51.85764,-0.9087
DCO+v=0,Formylium,"J=6-5,F=7-6",432.1890044,-2.67649,72.59922,-0.7091
DCO+v=0,Formylium,"J=7-6,F=8-7",504.2001984,-2.47083,96.79691,-0.5485
DCO+v=0,Formylium,"J=8-7,F=9-8",576.2020209,-2.29326,124.45008,-0.4181
DCO+v=0,Formylium,"J=9-8,F=10-9",648.1931338,-2.13711,155.55822,-0.3121
DCO+v=0,Formylium,"J=10-9,F=11-10",720.1721995,-1.9976,190.12085,-0.2263
DCO+v=0,Formylium,"J=11-10,F=12-11",792.1378805,-1.87156,228.13731,-0.1579
DCO+v=0,Formylium,"J=12-11,F=13-12",864.0888399,-1.75675,269.60683,-0.1049
DCO+v=0,Formylium,"J=13-12,F=14-13",936.023741,-1.65128,314.52863,-0.0656
