Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=2-1,F=1-1' 'J=2-1,F=1-2' 'J=2-1,F=3-2' 'J=2-1,F=2-1' 'J=2-1,F=1-0'
 'J=2-1,F=2-2']",[144.0772144 144.0772619 144.0772803 144.0772851 144.0773236 144.0773326],[-4.55    -5.7261  -4.16988 -4.29475 -4.4251  -4.77185],[10.37194 10.37194 10.37194 10.37194 10.37194 10.37194],[-2.7245 -3.9006 -1.9764 -2.2474 -2.5996 -2.7245]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=3-2,F=2-2' 'J=3-2,F=2-3' 'J=3-2,F=4-3' 'J=3-2,F=3-2' 'J=3-2,F=2-1'
 'J=3-2,F=3-3']",[216.1125182 216.1125705 216.1125766 216.1125799 216.1125889 216.1126322],[-4.41977 -5.96376 -3.61164 -3.66279 -3.68736 -4.56589],[20.74365 20.74365 20.74365 20.74365 20.74365 20.74365],[-2.561  -4.105  -1.4976 -1.6579 -1.8286 -2.561 ]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=4-3,F=3-3' 'J=4-3,F=5-4' 'J=4-3,F=3-4' 'J=4-3,F=4-3' 'J=4-3,F=3-2'
 'J=4-3,F=4-4']",[288.1438007 288.143855  288.1438564 288.1438577 288.1438624 288.1439133],[-4.31596 -3.22106 -6.11536 -3.24901 -3.25796 -4.42511],[34.57223 34.57224 34.57224 34.57224 34.57224 34.57224],[-2.4535 -1.1623 -4.2529 -1.2774 -1.3955 -2.4535]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=5-4,F=4-4' 'J=5-4,F=6-5' 'J=5-4,F=5-4' 'J=5-4,F=4-3' 'J=5-4,F=4-5'
 'J=5-4,F=5-5']",[360.1697259 360.1697771 360.1697795 360.1697828 360.1697842 360.1698378],[-4.23141 -2.92061 -2.93826 -2.94261 -6.22701 -4.31856],[51.85764 51.85764 51.85764 51.85764 51.85764 51.85764],[-2.3792 -0.9087 -0.9989 -1.0904 -4.3748 -2.3792]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=6-5,F=5-5' 'J=6-5,F=7-6' 'J=6-5,F=6-5' 'J=6-5,F=5-4' 'J=6-5,F=5-6'
 'J=6-5,F=6-6']",[432.1889557 432.1890044 432.1890065 432.1890093 432.1890164 432.1890673],[-4.1602  -2.67649 -2.68865 -2.691   -6.3155  -4.23275],[72.59922 72.59922 72.59922 72.59922 72.59922 72.59922],[-2.3275 -0.7091 -0.7834 -0.8583 -4.4828 -2.3275]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=7-6,F=6-6' 'J=7-6,F=8-7' 'J=7-6,F=7-6' 'J=7-6,F=6-5' 'J=7-6,F=6-7'
 'J=7-6,F=7-7']",[504.2001519 504.2001984 504.2002004 504.2002028 504.2002148 504.2002633],[-4.09892 -2.47083 -2.47977 -2.48122 -6.38892 -4.16107],[96.79691 96.79691 96.79691 96.79691 96.79692 96.79692],[-2.2931 -0.5485 -0.6118 -0.6754 -4.5831 -2.2931]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=8-7,F=7-7' 'J=8-7,F=9-8' 'J=8-7,F=8-7' 'J=8-7,F=7-6' 'J=8-7,F=7-8'
 'J=8-7,F=8-8']",[576.2019765 576.2020209 576.2020228 576.202025  576.2020414 576.2020877],[-4.0451  -2.29326 -2.30016 -2.3011  -6.4517  -4.09946],[124.45008 124.45008 124.45008 124.45008 124.45008 124.45008],[-2.2726 -0.4181 -0.4733 -0.5286 -4.6792 -2.2726]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=9-8,F=8-8' 'J=9-8,F=10-9' 'J=9-8,F=9-8' 'J=9-8,F=8-7' 'J=9-8,F=8-9'
 'J=9-8,F=9-9']",[648.1930914 648.1931338 648.1931357 648.1931377 648.1931582 648.1932025],[-3.99724 -2.13711 -2.14244 -2.14314 -6.50644 -4.04554],[155.55822 155.55822 155.55822 155.55822 155.55822 155.55823],[-2.264  -0.3121 -0.3609 -0.4099 -4.7732 -2.264 ]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=10-9,F=9-9' 'J=10-9,F=11-10' 'J=10-9,F=10-9' 'J=10-9,F=9-8'
 'J=10-9,F=9-10' 'J=10-9,F=10-10']",[720.1721589 720.1721995 720.1722013 720.1722032 720.1722276 720.17227  ],[-3.95412 -1.9976  -2.00199 -2.00242 -6.55512 -3.99759],[190.12084 190.12085 190.12085 190.12085 190.12085 190.12085],[-2.2658 -0.2263 -0.2702 -0.3141 -4.8668 -2.2658]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=11-10,F=10-10' 'J=11-10,F=12-11' 'J=11-10,F=11-10' 'J=11-10,F=10-9'
 'J=11-10,F=10-11' 'J=11-10,F=11-11']",[792.1378418 792.1378805 792.1378823 792.1378842 792.1379123 792.1379528],[-3.91484 -1.87156 -1.87525 -1.87554 -6.59884 -3.95435],[228.13731 228.13731 228.13731 228.13731 228.13731 228.13731],[-2.2769 -0.1579 -0.1978 -0.2376 -4.9609 -2.2769]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=12-11,F=11-11' 'J=12-11,F=13-12' 'J=12-11,F=12-11' 'J=12-11,F=11-10'
 'J=12-11,F=11-12' 'J=12-11,F=12-12']",[864.0888029 864.0888399 864.0888416 864.0888434 864.0888752 864.0889139],[-3.87891 -1.75675 -1.75982 -1.76001 -6.63861 -3.91512],[269.60683 269.60683 269.60683 269.60683 269.60683 269.60684],[-2.2967 -0.1049 -0.1414 -0.1778 -5.0564 -2.2967]
['DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0' 'DCO+v=0'],['Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium' 'Formylium'],"['J=13-12,F=12-12' 'J=13-12,F=14-13' 'J=13-12,F=13-12' 'J=13-12,F=12-11'
 'J=13-12,F=12-13' 'J=13-12,F=13-13']",[936.0237058 936.023741  936.0237427 936.0237445 936.0237799 936.0238168],[-3.84572 -1.65128 -1.65385 -1.65402 -6.67502 -3.87915],[314.52863 314.52863 314.52863 314.52863 314.52863 314.52863],[-2.3245 -0.0656 -0.0992 -0.1328 -5.1538 -2.3245]
