Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
H2CO,Formaldehyde,"13(2,11)-13(2,12)",89.5650597,-6.03154,368.66558,-4.7853
H2CO,Formaldehyde,"6(1,5)-6(1,6)",101.332991,-5.80408,87.56419,-4.0444
H2CO,Formaldehyde,"14(2,12)-14(2,13)",116.718773,-5.75641,418.61883,-4.6655
H2CO,Formaldehyde,"7(1,6)-7(1,7)",135.03044,-5.5541,112.79203,-3.8923
H2CO,Formaldehyde,"2(1,2)-1(1,1)",140.839502,-4.27564,21.92237,-2.9775
H2CO,Formaldehyde,"2(0,2)-1(0,1)",145.602949,-4.10739,10.48343,-3.2841
H2CO,Formaldehyde,"15(2,13)-15(2,14)",148.679198,-5.50736,472.23222,-4.5691
H2CO,Formaldehyde,"2(1,1)-1(1,0)",150.498334,-4.18926,22.61771,-2.9206
H2CO,Formaldehyde,"13(2,11)-14(0,14)",154.02527,-6.92584,368.66552,-5.9128
H2CO,Formaldehyde,"8(1,7)-8(1,8)",173.461705,-5.33572,141.60327,-3.7687
H2CO,Formaldehyde,"12(2,10)-13(0,13)",181.017384,-6.71605,322.36905,-5.7386
H2CO,Formaldehyde,"3(1,3)-2(1,2)",211.211468,-3.64395,32.05887,-2.3879
H2CO,Formaldehyde,"11(2,9)-12(0,12)",215.9761896,-6.50231,279.72179,-5.5748
H2CO,Formaldehyde,"9(1,8)-9(1,9)",216.568651,-5.14165,173.98879,-3.6681
H2CO,Formaldehyde,"3(0,3)-2(0,2)",218.222192,-3.55037,20.9564,-2.7693
H2CO,Formaldehyde,"3(2,2)-2(2,1)",218.475632,-3.80403,68.0937,-3.0917
H2CO,Formaldehyde,"3(2,1)-2(2,0)",218.760066,-3.80235,68.11081,-3.0906
H2CO,Formaldehyde,"3(1,2)-2(1,1)",225.697775,-3.55754,33.44945,-2.3318
H2CO,Formaldehyde,"10(2,8)-11(0,11)",258.2960872,-6.30244,240.71223,-5.4342
H2CO,Formaldehyde,"10(1,9)-10(1,10)",264.27014,-4.96699,209.93837,-3.5868
H2CO,Formaldehyde,"4(1,4)-3(1,3)",281.526929,-3.23069,45.57002,-2.0074
H2CO,Formaldehyde,"4(0,4)-3(0,3)",290.623405,-3.16132,34.90403,-2.4132
H2CO,Formaldehyde,"4(2,3)-3(2,2)",291.23778,-3.28334,82.07088,-2.6044
H2CO,Formaldehyde,"4(3,1)-3(3,0)",291.384264,-3.51673,140.93866,-2.4461
H2CO,Formaldehyde,"4(2,2)-3(2,1)",291.94806,-3.28024,82.12209,-2.6024
H2CO,Formaldehyde,"4(1,3)-3(1,2)",300.836635,-3.1442,47.8873,-1.9524
H2CO,Formaldehyde,"9(2,7)-10(0,10)",307.2383589,-6.12796,205.32562,-5.3256
H2CO,Formaldehyde,"11(1,10)-11(1,11)",316.4568304,-4.80808,249.43985,-3.522
H2CO,Formaldehyde,"5(1,5)-4(1,4)",351.768645,-2.92043,62.45211,-1.7287
H2CO,Formaldehyde,"8(2,6)-9(0,9)",361.9675703,-5.98588,173.54476,-5.2551
H2CO,Formaldehyde,"5(0,5)-4(0,4)",362.736048,-2.86284,52.31258,-2.1465
H2CO,Formaldehyde,"5(2,4)-4(2,3)",363.945894,-2.93407,99.53751,-2.2875
H2CO,Formaldehyde,"5(4,2)-4(4,1)",364.103249,-3.30139,240.72697,-2.8594
H2CO,Formaldehyde,"5(3,3)-4(3,2)",364.275141,-3.05097,158.42067,-2.0129
H2CO,Formaldehyde,"5(3,2)-4(3,1)",364.288884,-3.05085,158.42162,-2.0128
H2CO,Formaldehyde,"5(2,3)-4(2,2)",365.363428,-2.92896,99.65662,-2.2842
H2CO,Formaldehyde,"12(1,11)-12(1,12)",372.986243,-4.66228,292.47949,-3.4717
H2CO,Formaldehyde,"5(1,4)-4(1,3)",375.893216,-2.83394,65.92718,-1.6752
H2CO,Formaldehyde,"7(2,5)-8(0,8)",421.5956405,-5.88071,145.35163,-5.2276
H2CO,Formaldehyde,"6(1,6)-5(1,5)",421.920772,-2.67135,82.70109,-1.5129
H2CO,Formaldehyde,"13(1,12)-13(1,13)",433.677732,-4.52756,339.04142,-3.4343
H2CO,Formaldehyde,"6(0,6)-5(0,5)",434.492995,-2.62123,73.16473,-1.9384
H2CO,Formaldehyde,"6(2,5)-5(2,4)",436.586486,-2.6657,120.4902,-2.0534
H2CO,Formaldehyde,"6(5,2)-5(5,1)",436.7510548,-3.12895,367.38331,-2.3971
H2CO,Formaldehyde,"6(4,2)-5(4,1)",436.957406,-2.86873,261.69753,-2.4612
H2CO,Formaldehyde,"6(3,4)-5(3,3)",437.199519,-2.73765,179.40295,-1.7341
H2CO,Formaldehyde,"6(3,3)-5(3,2)",437.235976,-2.73751,179.40556,-1.734
H2CO,Formaldehyde,"6(2,4)-5(2,3)",439.057786,-2.65839,120.72793,-2.0488
H2CO,Formaldehyde,"6(1,5)-5(1,4)",450.844412,-2.58503,87.56425,-1.4614
H2CO,Formaldehyde,"6(2,4)-7(0,7)",485.2275934,-5.81639,120.72801,-5.2486
H2CO,Formaldehyde,"7(1,7)-6(1,6)",491.9683704,-2.46318,106.31162,-1.341
H2CO,Formaldehyde,"14(1,13)-14(1,14)",498.3081861,-4.40226,389.10789,-3.4085
H2CO,Formaldehyde,"7(0,7)-6(0,6)",505.833716,-2.41842,97.44089,-1.7721
H2CO,Formaldehyde,"7(2,6)-6(2,5)",509.1462487,-2.44646,144.92514,-1.8716
H2CO,Formaldehyde,"7(5,2)-6(5,1)",509.562141,-2.7184,391.83823,-2.0242
H2CO,Formaldehyde,"7(4,3)-6(4,2)",509.8301646,-2.57933,286.16534,-2.2095
H2CO,Formaldehyde,"7(3,5)-6(3,4)",510.1557496,-2.495,203.88642,-1.5292
H2CO,Formaldehyde,"7(3,4)-6(3,3)",510.2378575,-2.49482,203.89295,-1.5291
H2CO,Formaldehyde,"7(2,5)-6(2,4)",513.0763587,-2.43644,145.35158,-1.8654
H2CO,Formaldehyde,"7(1,6)-6(1,5)",525.6658334,-2.37691,112.79202,-1.2917
H2CO,Formaldehyde,"5(2,3)-6(0,6)",552.0035147,-5.7991,99.65668,-5.327
H2CO,Formaldehyde,"8(1,8)-7(1,7)",561.899318,-2.28434,133.27838,-1.2021
H2CO,Formaldehyde,"15(1,14)-15(1,15)",566.608786,-4.28512,442.65924,-3.3933
H2CO,Formaldehyde,"8(0,8)-7(0,7)",576.708315,-2.24406,125.11837,-1.6379
H2CO,Formaldehyde,"8(2,7)-7(2,6)",581.611847,-2.26057,172.83796,-1.727
H2CO,Formaldehyde,"8(5,3)-7(5,2)",582.3820861,-2.44585,419.78806,-1.7932
H2CO,Formaldehyde,"8(4,4)-7(4,3)",582.72428,-2.35484,314.13153,-2.0266
H2CO,Formaldehyde,"8(3,6)-7(3,5)",583.144604,-2.29484,231.87269,-1.3707
H2CO,Formaldehyde,"8(3,5)-7(3,4)",583.308558,-2.2945,231.88718,-1.3705
H2CO,Formaldehyde,"8(2,6)-7(2,5)",587.453659,-2.24751,173.54477,-1.7191
H2CO,Formaldehyde,"8(1,7)-7(1,6)",600.330566,-2.19811,141.60328,-1.1553
H2CO,Formaldehyde,"4(2,2)-5(0,5)",621.133112,-5.84033,82.122,-5.4788
H2CO,Formaldehyde,"9(1,9)-8(1,8)",631.702813,-2.12747,163.59524,-1.0892
H2CO,Formaldehyde,"16(1,15)-16(1,16)",638.263261,-4.17525,499.67324,-3.388
H2CO,Formaldehyde,"9(0,9)-8(0,8)",647.081735,-2.09139,156.17319,-1.5294
H2CO,Formaldehyde,"14(3,11)-15(1,14)",648.802628,-5.44665,473.79663,-4.6848
H2CO,Formaldehyde,"9(2,8)-8(2,7)",653.970155,-2.09887,204.22342,-1.6108
H2CO,Formaldehyde,"9(5,4)-8(5,3)",655.2121457,-2.23463,451.23299,-1.6278
H2CO,Formaldehyde,"9(4,5)-8(4,4)",655.643676,-2.16906,345.5973,-1.8867
H2CO,Formaldehyde,"9(3,7)-8(3,6)",656.164708,-2.1236,263.36344,-1.2454
H2CO,Formaldehyde,"9(3,6)-8(3,5)",656.464572,-2.12297,263.39236,-1.245
H2CO,Formaldehyde,"9(2,7)-8(2,6)",662.209158,-2.08253,205.32555,-1.6012
H2CO,Formaldehyde,"9(1,8)-8(1,7)",674.809776,-2.04147,173.98876,-1.0454
H2CO,Formaldehyde,"3(2,1)-4(0,4)",691.921105,-5.9669,68.11088,-5.7386
H2CO,Formaldehyde,"10(1,10)-9(1,9)",701.370458,-1.98793,197.25547,-0.9979
H2CO,Formaldehyde,"10(0,10)-9(0,9)",716.9383693,-1.95569,190.58058,-1.4421
H2CO,Formaldehyde,"10(2,9)-9(2,8)",726.2082563,-1.95583,239.07573,-1.5177
H2CO,Formaldehyde,"10(5,5)-9(5,4)",728.0535769,-2.05961,486.17396,-1.5031
H2CO,Formaldehyde,"10(4,6)-9(4,5)",728.5915806,-2.00947,380.56409,-1.7775
H2CO,Formaldehyde,"10(3,8)-9(3,7)",729.2125528,-1.97365,298.35992,-1.1459
H2CO,Formaldehyde,"10(3,7)-9(3,6)",729.7250025,-1.97268,298.41343,-1.1453
H2CO,Formaldehyde,"10(2,8)-9(2,7)",737.3426819,-1.93595,240.71233,-1.5064
