Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
H2CS,Thioformaldehyde,"13(1,12)-13(1,13)",95.1082334,-6.82527,165.41116,-5.1507
H2CS,Thioformaldehyde,"3(1,3)-2(1,2)",101.47762,-4.90073,22.9297,-3.6341
H2CS,Thioformaldehyde,"3(0,3)-2(0,2)",103.04022,-4.82961,9.89075,-4.0278
H2CS,Thioformaldehyde,"3(2,1)-2(2,0)",103.05181,-5.08476,62.59268,-4.3593
H2CS,Thioformaldehyde,"3(1,2)-2(1,1)",104.61704,-4.86098,23.231,-3.6079
H2CS,Thioformaldehyde,"14(1,13)-14(1,14)",109.7093633,-6.7011,188.81495,-5.0909
H2CS,Thioformaldehyde,"15(1,14)-15(1,15)",125.3412339,-6.58527,213.88567,-5.0397
H2CS,Thioformaldehyde,"4(1,4)-3(1,3)",135.297811,-4.48704,29.42289,-3.2444
H2CS,Thioformaldehyde,"4(0,4)-3(0,3)",137.371051,-4.43922,16.48355,-3.6615
H2CS,Thioformaldehyde,"4(2,3)-3(2,2)",137.382029,-4.56399,69.18516,-3.8626
H2CS,Thioformaldehyde,"4(2,2)-3(2,1)",137.41177,-4.56369,69.18731,-3.8624
H2CS,Thioformaldehyde,"4(1,3)-3(1,2)",139.48341,-4.44732,29.92519,-3.2185
H2CS,Thioformaldehyde,"16(1,15)-16(1,16)",142.0000259,-6.4766,240.62285,-4.9962
H2CS,Thioformaldehyde,"17(1,16)-17(1,17)",159.6812398,-5.05217,269.025,-4.9599
H2CS,Thioformaldehyde,"5(1,5)-4(1,4)",169.113529,-4.17633,37.53909,-2.954
H2CS,Thioformaldehyde,"5(4,2)-4(4,1)",171.67065,-4.58276,234.63399,-4.1293
H2CS,Thioformaldehyde,"5(0,5)-4(0,4)",171.6879,-4.13889,24.72321,-3.3816
H2CS,Thioformaldehyde,"5(3,3)-4(3,2)",171.710971,-4.3325,143.09254,-3.2695
H2CS,Thioformaldehyde,"5(2,4)-4(2,3)",171.72023,-4.21431,77.42643,-3.5334
H2CS,Thioformaldehyde,"5(2,3)-4(2,2)",171.779449,-4.21386,77.43143,-3.5331
H2CS,Thioformaldehyde,"5(1,4)-4(1,3)",174.34485,-4.13659,38.29228,-2.9284
H2CS,Thioformaldehyde,"18(1,17)-18(1,18)",178.379617,-5.27393,299.09125,-4.9302
H2CS,Thioformaldehyde,"19(1,18)-19(1,19)",198.0890571,-5.34873,330.82032,-4.9067
H2CS,Thioformaldehyde,"6(1,6)-5(1,5)",202.9235152,-3.92671,47.27779,-2.7239
H2CS,Thioformaldehyde,"6(5,1)-5(5,0)",205.9425235,-4.41015,361.54703,-3.6686
H2CS,Thioformaldehyde,"6(0,6)-5(0,5)",205.9873911,-3.89493,34.609,-3.1573
H2CS,Thioformaldehyde,"6(4,2)-5(4,1)",206.00188,-4.15012,244.52044,-3.7164
H2CS,Thioformaldehyde,"6(2,5)-5(2,4)",206.0535835,-3.94569,87.31528,-3.2845
H2CS,Thioformaldehyde,"6(2,4)-5(2,3)",206.158016,-3.94506,87.32533,-3.2841
H2CS,Thioformaldehyde,"6(1,5)-5(1,4)",209.2001012,-3.88697,48.33236,-2.6987
H2CS,Thioformaldehyde,"20(1,19)-20(1,20)",218.8025328,-5.3714,364.21102,-4.8889
H2CS,Thioformaldehyde,"7(1,7)-6(1,6)",236.72677,-3.71788,58.63882,-2.5351
H2CS,Thioformaldehyde,"7(0,7)-6(0,6)",240.26632,-3.68963,46.1399,-2.9722
H2CS,Thioformaldehyde,"7(4,3)-6(4,2)",240.33143,-3.86093,256.05448,-3.4475
H2CS,Thioformaldehyde,"7(2,6)-6(2,5)",240.38175,-3.72591,98.85171,-3.085
H2CS,Thioformaldehyde,"7(3,4)-6(3,3)",240.3930319,-3.77705,164.51837,-2.7541
H2CS,Thioformaldehyde,"21(1,20)-21(1,21)",240.5120019,-5.3686,399.26194,-4.8765
H2CS,Thioformaldehyde,"7(2,5)-6(2,4)",240.5482286,-3.72509,98.86977,-3.0845
H2CS,Thioformaldehyde,"7(1,6)-6(1,5)",244.04784,-3.67817,60.04465,-2.5104
H2CS,Thioformaldehyde,"22(1,21)-22(1,22)",263.2083174,-5.35156,435.9715,-4.8693
H2CS,Thioformaldehyde,"8(1,8)-7(1,7)",270.5207397,-3.53827,71.62176,-2.3767
