Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
HC15Nv=0,Hydrogen Cyanide,1-0,86.054961,-4.62943,4.12996,-2.5236
HC15Nv=0,Hydrogen Cyanide,2-1,172.107956,-3.6472,12.38982,-1.6295
HC15Nv=0,Hydrogen Cyanide,3-2,258.1571,-3.08891,24.77933,-1.1161
HC15Nv=0,Hydrogen Cyanide,4-3,344.2003199,-2.69843,41.29825,-0.7623
HC15Nv=0,Hydrogen Cyanide,5-4,430.2357675,-2.39791,61.94621,-0.4984
HC15Nv=0,Hydrogen Cyanide,6-5,516.2614602,-2.15386,86.72269,-0.2938
HC15Nv=0,Hydrogen Cyanide,7-6,602.2754469,-1.94827,115.62714,-0.1318
HC15Nv=0,Hydrogen Cyanide,8-7,688.2757768,-1.77068,148.65891,-0.0026
HC15Nv=0,Hydrogen Cyanide,9-8,774.2604988,-1.61451,185.81733,0.1
HC15Nv=0,Hydrogen Cyanide,10-9,860.2276619,-1.47504,227.10158,0.1805
HC15Nv=0,Hydrogen Cyanide,11-10,946.1753151,-1.34901,272.51057,0.242
