Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['HC18O+'],['Formylium'],['1-0'],[85.162157],[-4.57963],[4.08712],[-2.4462]
['HC18O+'],['Formylium'],['2-1'],[170.322749],[-3.59738],[12.26127],[-1.552]
['HC18O+'],['Formylium'],['3-2'],[255.480211],[-3.03925],[24.52238],[-1.0386]
['HC18O+'],['Formylium'],['4-3'],[340.632978],[-2.64878],[40.87008],[-0.6846]
['HC18O+'],['Formylium'],['5-4'],[425.779485],[-2.34844],[61.30403],[-0.4206]
['HC18O+'],['Formylium'],['6-5'],[510.918167],[-2.10453],[85.82413],[-0.2158]
['HC18O+'],['Formylium'],['7-6'],[596.047459],[-1.89913],[114.42974],[-0.0536]
['HC18O+'],['Formylium'],['8-7'],[681.165796],[-1.7218],[147.12035],[0.0758]
['HC18O+'],['Formylium'],['9-8'],[766.271613],[-1.56585],[183.89531],[0.1787]
['HC18O+'],['Formylium'],['10-9'],[851.363345],[-1.42666],[224.75412],[0.2595]
['HC18O+'],['Formylium'],['11-10'],[936.439427],[-1.30097],[269.69583],[0.3213]
