Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['HC3Nv=0'],['Cyanoacetylene'],['J=10-9'],[90.979023],[-4.23748],[24.01482],[-2.2866]
['HC3Nv=0'],['Cyanoacetylene'],['J=11-10'],[100.076392],[-4.11136],[28.81766],[-2.169]
['HC3Nv=0'],['Cyanoacetylene'],['J=12-11'],[109.173634],[-3.99642],[34.05715],[-2.0629]
['HC3Nv=0'],['Cyanoacetylene'],['J=13-12'],[118.2707322],[-3.89088],[39.73316],[-1.9666]
['HC3Nv=0'],['Cyanoacetylene'],['J=14-13'],[127.367666],[-3.7931],[45.84583],[-1.8785]
['HC3Nv=0'],['Cyanoacetylene'],['J=15-14'],[136.4644013],[-3.70224],[52.39515],[-1.7978]
['HC3Nv=0'],['Cyanoacetylene'],['J=16-15'],[145.560946],[-3.61727],[59.38085],[-1.7235]
['HC3Nv=0'],['Cyanoacetylene'],['J=17-16'],[154.657284],[-3.53757],[66.8032],[-1.655]
['HC3Nv=0'],['Cyanoacetylene'],['J=18-17'],[163.753389],[-3.46243],[74.66206],[-1.5916]
['HC3Nv=0'],['Cyanoacetylene'],['J=19-18'],[172.8493],[-3.39132],[82.95743],[-1.5328]
['HC3Nv=0'],['Cyanoacetylene'],['J=20-19'],[181.944923],[-3.32395],[91.68946],[-1.4783]
['HC3Nv=0'],['Cyanoacetylene'],['J=21-20'],[191.040299],[-3.25989],[100.85785],[-1.4277]
['HC3Nv=0'],['Cyanoacetylene'],['J=22-21'],[200.135392],[-3.19885],[110.46276],[-1.3807]
['HC3Nv=0'],['Cyanoacetylene'],['J=23-22'],[209.230234],[-3.14051],[120.50417],[-1.337]
['HC3Nv=0'],['Cyanoacetylene'],['J=24-23'],[218.324788],[-3.08468],[130.98209],[-1.2964]
['HC3Nv=0'],['Cyanoacetylene'],['J=25-24'],[227.4189062],[-3.03115],[141.89637],[-1.2587]
['HC3Nv=0'],['Cyanoacetylene'],['J=26-25'],[236.5127768],[-2.97982],[153.24716],[-1.2238]
['HC3Nv=0'],['Cyanoacetylene'],['J=27-26'],[245.606308],[-2.93037],[165.03431],[-1.1914]
['HC3Nv=0'],['Cyanoacetylene'],['J=28-27'],[254.6995],[-2.88272],[177.25797],[-1.1614]
['HC3Nv=0'],['Cyanoacetylene'],['J=29-28'],[263.792308],[-2.83675],[189.91784],[-1.1337]
['HC3Nv=0'],['Cyanoacetylene'],['J=30-29'],[272.8847343],[-2.79227],[203.01422],[-1.1081]
['HC3Nv=0'],['Cyanoacetylene'],['J=31-30'],[281.9767772],[-2.74938],[216.54682],[-1.0847]
['HC3Nv=0'],['Cyanoacetylene'],['J=32-31'],[291.068427],[-2.70786],[230.51591],[-1.0633]
['HC3Nv=0'],['Cyanoacetylene'],['J=33-32'],[300.159647],[-2.66753],[244.92123],[-1.0437]
['HC3Nv=0'],['Cyanoacetylene'],['J=34-33'],[309.25043],[-2.62848],[259.76275],[-1.026]
['HC3Nv=0'],['Cyanoacetylene'],['J=35-34'],[318.3407714],[-2.59061],[275.04064],[-1.0101]
['HC3Nv=0'],['Cyanoacetylene'],['J=36-35'],[327.430671],[-2.55372],[290.75473],[-0.9958]
['HC3Nv=0'],['Cyanoacetylene'],['J=37-36'],[336.520084],[-2.5179],[306.90504],[-0.9832]
['HC3Nv=0'],['Cyanoacetylene'],['J=38-37'],[345.60901],[-2.48296],[323.49156],[-0.9721]
['HC3Nv=0'],['Cyanoacetylene'],['J=39-38'],[354.6974555],[-2.449],[340.51429],[-0.9626]
['HC3Nv=0'],['Cyanoacetylene'],['J=40-39'],[363.785397],[-2.41592],[357.97309],[-0.9546]
['HC3Nv=0'],['Cyanoacetylene'],['J=41-40'],[372.872811],[-2.38361],[375.86809],[-0.948]
['HC3Nv=0'],['Cyanoacetylene'],['J=42-41'],[381.9596694],[-2.35218],[394.19917],[-0.9429]
['HC3Nv=0'],['Cyanoacetylene'],['J=43-42'],[391.0459951],[-2.32142],[412.9663],[-0.9391]
['HC3Nv=0'],['Cyanoacetylene'],['J=44-43'],[400.1317596],[-2.29133],[432.1695],[-0.9366]
['HC3Nv=0'],['Cyanoacetylene'],['J=45-44'],[409.2169498],[-2.26202],[451.80862],[-0.9355]
['HC3Nv=0'],['Cyanoacetylene'],['J=46-45'],[418.3015529],[-2.23328],[471.88395],[-0.9356]
['HC3Nv=0'],['Cyanoacetylene'],['J=47-46'],[427.3855556],[-2.20522],[492.39505],[-0.937]
