Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['HCNv=0' 'HCNv=0' 'HCNv=0'],['Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide'],"['J=1-0,F=1-1' 'J=1-0,F=2-1' 'J=1-0,F=0-1']",[88.630416 88.631847 88.633936],[-5.09214 -5.09218 -5.0921 ],[4.25356 4.25363 4.25373],[-2.9588 -2.737  -3.4359]
['HCNv=0' 'HCNv=0' 'HCNv=0' 'HCNv=0' 'HCNv=0' 'HCNv=0'],"['Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide'
 'Hydrogen Cyanide' 'Hydrogen Cyanide' 'Hydrogen Cyanide']","['J=2-1,F=2-2' 'J=2-1,F=1-0' 'J=2-1,F=2-1' 'J=2-1,F=3-2' 'J=2-1,F=1-2'
 'J=2-1,F=1-1']",[177.259677  177.259923  177.26111   177.261223  177.2620122 177.263445 ],[-4.71204 -4.36529 -4.23493 -4.10996 -5.66628 -4.49018],[12.76065 12.76066 12.76072 12.76072 12.76076 12.76083],[-2.6671 -2.5422 -2.19   -1.9189 -3.8432 -2.6671]
['HCNv=0'],['Hydrogen Cyanide'],['J=3-2'],[265.88618],[-3.55182],[25.52118],[-1.0751]
['HCNv=0'],['Hydrogen Cyanide'],['J=4-3'],[354.5054759],[-3.16142],[42.53465],[-0.722]
['HCNv=0'],['Hydrogen Cyanide'],['J=5-4'],[443.1161554],[-2.8611],[63.80085],[-0.4591]
['HCNv=0'],['Hydrogen Cyanide'],['J=6-5'],[531.7163875],[-2.61716],[89.31897],[-0.2556]
['HCNv=0'],['Hydrogen Cyanide'],['J=7-6'],[620.3040952],[-2.41181],[119.08878],[-0.095]
['HCNv=0'],['Hydrogen Cyanide'],['J=8-7'],[708.8772081],[-2.23449],[153.1093],[0.0326]
['HCNv=0'],['Hydrogen Cyanide'],['J=9-8'],[797.4336638],[-2.0786],[191.37986],[0.1334]
['HCNv=0'],['Hydrogen Cyanide'],['J=10-9'],[885.9714087],[-1.93943],[233.89951],[0.2119]
