Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['HDO'],['Water'],"['5(1,5)-4(2,2)']",[120.77819],[-5.87374],[324.96723],[-3.79]
['HDO'],['Water'],"['6(1,6)-5(2,3)']",[138.53057],[-5.8427],[444.02643],[-3.9177]
['HDO'],['Water'],"['4(2,2)-4(2,3)']",[143.72721],[-5.55173],[319.17072],[-3.6215]
['HDO'],['Water'],"['3(2,1)-4(0,4)']",[207.1108522],[-6.94145],[225.97973],[-5.1419]
['HDO'],['Water'],"['3(1,2)-2(2,1)']",[225.89672],[-4.87987],[167.56087],[-3.0328]
['HDO'],['Water'],"['2(1,1)-2(1,2)']",[241.56155],[-4.92559],[95.22422],[-3.1485]
['HDO'],['Water'],"['5(2,3)-4(3,2)']",[255.05026],[-4.74766],[437.37813],[-3.1466]
['HDO'],['Water'],"['2(2,0)-3(1,3)']",[266.16107],[-4.75649],[157.21292],[-3.1104]
['HDO'],['Water'],"['5(2,3)-5(2,4)']",[310.53329],[-4.74902],[437.37801],[-3.2315]
['HDO'],['Water'],"['3(3,1)-4(2,2)']",[335.3955],[-4.58367],[335.26718],[-3.1472]
['HDO'],['Water'],"['1(0,1)-0(0,0)']",[464.92452],[-3.77156],[22.31273],[-2.3873]
['HDO'],['Water'],"['3(3,0)-4(2,3)']",[479.94737],[-4.13775],[335.30665],[-2.8519]
['HDO'],['Water'],"['3(1,2)-3(1,3)']",[481.7795],[-4.3242],[167.56092],[-2.7971]
['HDO'],['Water'],"['2(0,2)-1(1,1)']",[490.59664],[-3.2801],[66.43247],[-1.7603]
['HDO'],['Water'],"['1(1,0)-1(0,1)']",[509.29242],[-2.63476],[46.75475],[-1.3239]
['HDO'],['Water'],"['2(2,0)-3(0,3)']",[537.7925534],[-6.00266],[157.21285],[-4.6525]
['HDO'],['Water'],"['2(1,1)-2(0,2)']",[599.92671],[-2.4616],[95.22419],[-1.067]
['HDO'],['Water'],"['3(1,2)-3(0,3)']",[753.41115],[-2.22891],[167.56086],[-0.8864]
['HDO'],['Water'],"['4(1,3)-4(1,4)']",[797.487016],[-3.88027],[263.27093],[-2.5903]
['HDO'],['Water'],"['4(1,3)-3(2,2)']",[827.263389],[-2.8926],[263.27098],[-1.6175]
['HDO'],['Water'],"['2(1,2)-1(1,1)']",[848.961843],[-3.03281],[83.63119],[-1.7634]
['HDO'],['Water'],"['1(1,1)-0(0,0)']",[893.638666],[-2.07826],[42.88765],[-0.9924]
['HDO'],['Water'],"['4(3,1)-5(1,4)']",[912.6052021],[-5.56128],[425.41142],[-4.5605]
['HDO'],['Water'],"['2(0,2)-1(0,1)']",[919.310885],[-2.80644],[66.43242],[-1.5442]
