Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['HNCv=0'],['Hydrogen Isocyanide'],['J=1-0'],[90.663593],[-4.48572],[4.35114],[-2.4372]
['HNCv=0'],['Hydrogen Isocyanide'],['J=2-1'],[181.324758],[-3.50341],[13.05329],[-1.5435]
['HNCv=0'],['Hydrogen Isocyanide'],['J=3-2'],[271.981142],[-2.94523],[26.10633],[-1.031]
['HNCv=0'],['Hydrogen Isocyanide'],['J=4-3'],[362.630303],[-2.55463],[43.50972],[-0.6782]
['HNCv=0'],['Hydrogen Isocyanide'],['J=5-4'],[453.2698531],[-2.25418],[65.26306],[-0.4158]
['HNCv=0'],['Hydrogen Isocyanide'],['J=6-5'],[543.8973856],[-2.01007],[91.36593],[-0.2129]
['HNCv=0'],['Hydrogen Isocyanide'],['J=7-6'],[634.5104973],[-1.80451],[121.81737],[-0.053]
['HNCv=0'],['Hydrogen Isocyanide'],['J=8-7'],[725.1067847],[-1.62703],[156.61682],[0.0737]
['HNCv=0'],['Hydrogen Isocyanide'],['J=9-8'],[815.6838445],[-1.47076],[195.7633],[0.1737]
['HNCv=0'],['Hydrogen Isocyanide'],['J=10-9'],[906.239273],[-1.33136],[239.2557],[0.2511]
