Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['N2H+v=0' 'N2H+v=0' 'N2H+v=0'],['Diazenylium' 'Diazenylium' 'Diazenylium'],"['J=1-0,F1=1-1' 'J=1-0,F1=2-1' 'J=1-0,F1=0-1']",[93.17188 93.1737  93.17613],[-4.40932 -4.40926 -4.40918],[4.47152 4.47161 4.47172],[-2.7844 -2.5625 -3.2614]
['N2H+v=0'],['Diazenylium'],['J=2-1'],[186.344771],[-3.42706],[13.41464],[-1.4139]
['N2H+v=0'],['Diazenylium'],['J=3-2'],[279.511701],[-2.86895],[26.82902],[-0.9019]
['N2H+v=0'],['Diazenylium'],['J=4-3'],[372.672509],[-2.47854],[44.71436],[-0.5499]
['N2H+v=0'],['Diazenylium'],['J=5-4'],[465.824947],[-2.1782],[67.07028],[-0.2884]
['N2H+v=0'],['Diazenylium'],['J=6-5'],[558.9666656],[-1.93433],[93.89638],[-0.0867]
['N2H+v=0'],['Diazenylium'],['J=7-6'],[652.0958651],[-1.72894],[125.19183],[0.0719]
['N2H+v=0'],['Diazenylium'],['J=8-7'],[745.2103361],[-1.55175],[160.95612],[0.197]
['N2H+v=0'],['Diazenylium'],['J=9-8'],[838.3079748],[-1.39579],[201.18826],[0.2952]
['N2H+v=0'],['Diazenylium'],['J=10-9'],[931.3866769],[-1.25663],[245.8876],[0.3707]
