Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
SO3&Sigma;v=0,Sulfur Monoxide,2(2)-1(1),86.09395,-5.27128,19.31372,-3.7043
SO3&Sigma;v=0,Sulfur Monoxide,3(2)-2(1),99.29987,-4.9402,9.22565,-3.274
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-4(4),100.02964,-5.9571,38.57544,-4.2274
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-1(2),109.25222,-4.95802,21.05114,-3.4962
SO3&Sigma;v=0,Sulfur Monoxide,3(3)-2(2),129.138923,-4.63935,25.5114,-3.1098
SO3&Sigma;v=0,Sulfur Monoxide,5(6)-5(5),136.634799,-5.7487,50.66113,-4.0835
SO3&Sigma;v=0,Sulfur Monoxide,4(3)-3(2),138.1786,-4.491,15.85716,-2.8674
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-2(3),158.9718,-4.36484,28.6806,-2.9291
SO3&Sigma;v=0,Sulfur Monoxide,4(4)-3(3),172.18146,-4.22561,33.77474,-2.7223
SO3&Sigma;v=0,Sulfur Monoxide,16(16)-17(16),173.174405,-7.68655,293.96371,-5.9981
SO3&Sigma;v=0,Sulfur Monoxide,15(15)-16(15),173.7058109,-7.6833,260.93523,-5.9755
SO3&Sigma;v=0,Sulfur Monoxide,14(14)-15(14),174.3270943,-7.67944,229.96807,-5.9573
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-6(6),174.92886,-5.59108,64.89307,-3.9799
SO3&Sigma;v=0,Sulfur Monoxide,13(13)-14(13),175.055974,-7.67496,201.0628,-5.9438
SO3&Sigma;v=0,Sulfur Monoxide,12(12)-13(12),175.9151255,-7.6698,174.21992,-5.9353
SO3&Sigma;v=0,Sulfur Monoxide,11(11)-12(11),176.934014,-7.66379,149.43984,-5.9321
SO3&Sigma;v=0,Sulfur Monoxide,10(10)-11(10),178.1515912,-7.65673,126.72314,-5.9346
SO3&Sigma;v=0,Sulfur Monoxide,5(4)-4(3),178.605403,-4.1451,24.42876,-2.5568
SO3&Sigma;v=0,Sulfur Monoxide,9(9)-10(9),179.620354,-7.64845,106.07018,-5.9434
SO3&Sigma;v=0,Sulfur Monoxide,8(8)-9(8),181.4126187,-7.63871,87.48156,-5.9593
SO3&Sigma;v=0,Sulfur Monoxide,7(7)-8(7),183.6304989,-7.62727,70.95727,-5.9835
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-3(4),206.176005,-3.98729,38.57539,-2.568
SO3&Sigma;v=0,Sulfur Monoxide,7(8)-7(7),214.357039,-5.46636,81.24479,-3.9036
SO3&Sigma;v=0,Sulfur Monoxide,5(5)-4(4),215.220653,-3.91491,44.10371,-2.4348
