Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['c-HCCCHv=0'],['Cyclopropenylidene'],"['3(2,2)-3(1,3)']",[84.727696],[-4.94077],[16.13538],[-4.4082]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['12(9,3)-12(8,4)']",[85.318966],[-4.50194],[241.09739],[-3.7452]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['2(1,2)-1(0,1)']",[85.338893],[-4.59289],[6.44539],[-3.7184]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['4(3,2)-4(2,3)']",[85.656431],[-4.77651],[29.06844],[-3.6811]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['14(11,3)-14(10,4)']",[86.1259423],[-4.46343],[326.62214],[-3.7701]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['10(9,1)-10(8,2)']",[87.3854195],[-4.63273],[175.73173],[-3.8674]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['5(4,2)-5(3,3)']",[87.4353146],[-4.69134],[45.25565],[-4.0182]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['11(8,3)-11(7,4)']",[89.7906468],[-4.47254],[203.16031],[-3.242]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['6(5,2)-6(4,3)']",[90.3440789],[-4.62354],[64.70985],[-3.443]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['15(12,3)-15(11,4)']",[92.8141102],[-4.38262],[374.31746],[-3.2845]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['8(8,0)-8(7,1)']",[93.1475238],[-4.78631],[118.55032],[-4.0575]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['7(7,1)-7(6,2)']",[93.1619991],[-4.76454],[91.91725],[-4.0516]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['7(6,2)-7(5,3)']",[94.6139819],[-4.55654],[87.44618],[-3.8438]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['13(11,2)-13(10,3)']",[95.9718083],[-4.42484],[286.83965],[-3.2745]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['10(7,3)-10(6,4)']",[95.9751735],[-4.42916],[168.37591],[-3.6936]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['8(7,2)-8(6,3)']",[100.400778],[-4.48475],[113.47958],[-3.3038]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['9(6,3)-9(5,4)']",[102.5059453],[-4.38609],[136.70709],[-3.1994]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['17(13,4)-17(12,5)']",[103.1271193],[-4.23199],[474.09233],[-3.271]
['c-HCCCHv=0'],['Cyclopropenylidene'],"['16(13,3)-16(12,4)']",[103.9439204],[-4.26775],[425.36821],[-3.7423]
