Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['t-HCOOH'],['Formic Acid'],"['6(1,5)-6(0,6)']",[85.1232079],[-6.67215],[26.63032],[-5.715]
['t-HCOOH'],['Formic Acid'],"['4(1,4)-3(1,3)']",[86.5461854],[-5.21281],[13.56798],[-4.4036]
['t-HCOOH'],['Formic Acid'],"['10(1,9)-10(1,10)']",[89.4901094],[-6.81898],[64.46629],[-5.7299]
['t-HCOOH'],['Formic Acid'],"['4(0,4)-3(0,3)']",[89.579172],[-5.14012],[10.76233],[-4.3417]
['t-HCOOH'],['Formic Acid'],"['4(2,3)-3(2,2)']",[89.8614832],[-5.26072],[23.5051],[-4.4821]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['4(3,2)-3(3,1)' '4(3,1)-3(3,0)']",[89.9482201 89.9503318],[-5.49348 -5.49347],[39.40895 39.40905],[-4.7383 -4.7383]
['t-HCOOH'],['Formic Acid'],"['17(2,15)-17(2,16)']",[90.0779138],[-6.74542],[181.13072],[-5.6062]
['t-HCOOH'],['Formic Acid'],"['4(2,2)-3(2,1)']",[90.164628],[-5.25633],[23.52699],[-4.4792]
['t-HCOOH'],['Formic Acid'],"['7(1,6)-7(0,7)']",[92.1038061],[-6.59062],[34.43384],[-5.6166]
['t-HCOOH'],['Formic Acid'],"['4(1,3)-3(1,2)']",[93.0983554],[-5.11771],[14.35435],[-4.3411]
['t-HCOOH'],['Formic Acid'],"['11(1,10)-10(2,9)']",[98.7761988],[-7.04857],[76.66985],[-5.9802]
['t-HCOOH'],['Formic Acid'],"['8(1,7)-8(0,8)']",[100.471137],[-6.50181],[43.34356],[-5.5238]
['t-HCOOH'],['Formic Acid'],"['7(0,7)-6(1,6)']",[104.8734926],[-6.65567],[30.01358],[-5.7312]
['t-HCOOH'],['Formic Acid'],"['11(1,10)-11(1,11)']",[107.0525716],[-6.65961],[76.66981],[-5.6259]
['t-HCOOH'],['Formic Acid'],"['18(2,16)-18(2,17)']",[107.63811],[-6.56943],[201.15399],[-5.5118]
['t-HCOOH'],['Formic Acid'],"['5(1,5)-4(1,4)']",[108.1267],[-4.90272],[18.75725],[-4.1098]
['t-HCOOH'],['Formic Acid'],"['9(1,8)-9(0,9)']",[110.34007],[-6.40747],[53.35594],[-5.436]
['t-HCOOH'],['Formic Acid'],"['5(0,5)-4(0,4)']",[111.74679],[-4.84235],[16.12539],[-4.0598]
['t-HCOOH'],['Formic Acid'],"['5(2,4)-4(2,3)']",[112.28712],[-4.91149],[28.89406],[-4.1495]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['5(4,2)-4(4,1)' '5(4,1)-4(4,0)']",[112.4323    112.4323472],[-5.27769 -5.27769],[67.05372 67.05373],[-4.5715 -4.5715]
['t-HCOOH'],['Formic Acid'],"['5(3,3)-4(3,2)']",[112.4596],[-5.02749],[44.80606],[-4.2892]
['t-HCOOH'],['Formic Acid'],"['5(3,2)-4(3,1)']",[112.467],[-5.02747],[44.80656],[-4.2892]
['t-HCOOH'],['Formic Acid'],"['5(2,3)-4(2,2)']",[112.89141],[-4.90451],[28.94494],[-4.1449]
['t-HCOOH'],['Formic Acid'],"['17(2,15)-16(3,14)']",[114.19863],[-6.97132],[181.1307],[-5.9343]
['t-HCOOH'],['Formic Acid'],"['5(1,4)-4(1,3)']",[116.31148],[-4.80761],[19.93635],[-4.0478]
['t-HCOOH'],['Formic Acid'],"['10(1,9)-10(0,10)']",[121.80767],[-6.30921],[64.46628],[-5.3529]
['t-HCOOH'],['Formic Acid'],"['12(1,11)-12(1,12)']",[126.006831],[-6.51335],[89.96021],[-5.5328]
['t-HCOOH'],['Formic Acid'],"['19(2,17)-19(2,18)']",[126.8092164],[-6.40807],[222.29364],[-5.4287]
['t-HCOOH'],['Formic Acid'],"['3(1,3)-2(0,2)']",[128.7839259],[-6.31594],[9.41454],[-5.781]
['t-HCOOH'],['Formic Acid'],"['12(1,11)-11(2,10)']",[129.5995247],[-6.66277],[89.96027],[-5.6943]
['t-HCOOH'],['Formic Acid'],"['6(1,6)-5(1,5)']",[129.67175],[-4.6539],[24.98045],[-3.8756]
['t-HCOOH'],['Formic Acid'],"['8(0,8)-7(1,7)']",[130.98019],[-6.33608],[38.52178],[-5.4652]
['t-HCOOH'],['Formic Acid'],"['6(0,6)-5(0,5)']",[133.76707],[-4.60156],[22.5452],[-3.8331]
['t-HCOOH'],['Formic Acid'],"['6(2,5)-5(2,4)']",[134.68637],[-4.64327],[35.35796],[-3.8963]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['6(5,1)-5(5,0)' '6(5,2)-5(5,1)']",[134.92024   134.9203037],[-5.10477 -5.10477],[102.12373 102.12374],[-4.4552 -4.4552]
['t-HCOOH' 't-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid' 'Formic Acid'],"['6(4,3)-5(4,2)' '6(4,3)-5(4,2)' '11(1,10)-11(0,11)']",[134.93854   134.93854   134.9411506],[-4.84491 -4.84491 -6.20854],[73.5298  73.5298  76.66976],[-4.154  -4.154  -5.2744]
['t-HCOOH'],['Formic Acid'],"['6(3,4)-5(3,3)']",[134.98563],[-4.71416],[51.28439],[-3.9912]
['t-HCOOH'],['Formic Acid'],"['6(3,3)-5(3,2)']",[135.00487],[-4.7139],[51.28574],[-3.991]
['t-HCOOH'],['Formic Acid'],"['6(2,4)-5(2,3)']",[135.7377],[-4.63318],[35.45921],[-3.8897]
['t-HCOOH'],['Formic Acid'],"['19(5,15)-20(4,16)']",[138.24043],[-6.80778],[284.74815],[-5.9559]
['t-HCOOH'],['Formic Acid'],"['6(1,5)-5(1,4)']",[139.48172],[-4.55888],[26.63033],[-3.8143]
['t-HCOOH'],['Formic Acid'],"['19(5,14)-20(4,17)']",[140.6512093],[-6.78575],[284.75091],[-5.9413]
['t-HCOOH'],['Formic Acid'],"['13(4,10)-14(3,11)']",[142.7440382],[-6.7857],[149.15733],[-5.911]
['t-HCOOH'],['Formic Acid'],"['13(1,12)-13(1,13)']",[146.2612621],[-6.37804],[104.3308],[-5.4489]
['t-HCOOH'],['Formic Acid'],"['13(4,9)-14(3,12)']",[147.0226459],[-6.74901],[149.1611],[-5.887]
['t-HCOOH'],['Formic Acid'],"['20(2,18)-20(2,19)']",[147.5143928],[-6.25942],[244.54211],[-5.3555]
